timestamp,px,py,pz,qx,qy,qz,qw,features,clones
1598870207.267908573,0.000000000,0.000000000,0.000000000,0.008762296,-0.004937657,-0.707089541,0.707052489,239,0
1598870208.267482042,0.052297197,-0.084859321,0.158528572,-0.005199396,0.018950575,-0.701153944,0.712739075,220,1
1598870208.298090219,0.057053520,-0.091954390,0.159490422,-0.005530935,0.019826254,-0.700483387,0.713371819,217,2
1598870208.333241940,0.062869783,-0.100505921,0.159648941,-0.005529170,0.022085344,-0.699699876,0.714074050,219,3
1598870208.366655350,0.068821912,-0.108984667,0.159226968,-0.005472977,0.024466286,-0.699661841,0.714034142,216,4
1598870208.400221825,0.075252563,-0.118014968,0.158322712,-0.004710763,0.026007270,-0.700265103,0.713393451,217,5
1598870208.433743954,0.081931696,-0.127533175,0.156938728,-0.003875315,0.025813814,-0.701160336,0.712525657,218,6
1598870208.466409445,0.088706503,-0.137251834,0.155481973,-0.003190153,0.024141848,-0.702277815,0.711486377,214,7
1598870208.499140024,0.095730912,-0.147386118,0.154177863,-0.002673063,0.022148831,-0.703477542,0.710367251,217,8
1598870208.534217119,0.103491962,-0.158674970,0.153213805,-0.001910320,0.021075657,-0.704842605,0.709048002,217,9
1598870208.566113234,0.110699577,-0.169433135,0.152824970,-0.000515810,0.021854320,-0.705755815,0.708117824,216,10
1598870208.600353479,0.118553093,-0.181585251,0.153080014,0.001253809,0.024110003,-0.706120337,0.707680158,215,11
1598870208.633063078,-0.016731524,0.339694944,0.108896436,0.008360156,-0.002960018,-0.739524159,0.673071590,7,11
1598870208.665562868,-0.010711006,0.342395890,0.108480323,0.010577826,-0.000057672,-0.740000196,0.672523469,198,11
1598870208.697984457,-0.006151582,0.347111144,0.108530143,0.011917044,0.001631310,-0.740224446,0.672252253,197,11
1598870208.732927322,-0.003687655,0.355798721,0.108351823,0.013158049,0.002113156,-0.740351625,0.672087697,198,11
1598870208.765749693,-0.001469334,0.363440432,0.107959875,0.014843587,0.002227817,-0.740484544,0.671905756,197,11
1598870208.798115492,0.000482527,0.372154817,0.107153537,0.015776688,0.002490169,-0.740760941,0.671578829,197,11
1598870208.832394361,0.001514996,0.379325048,0.106569705,0.016892276,0.002284629,-0.741358339,0.670892871,197,11
1598870208.864908695,0.003444624,0.388890571,0.104704950,0.017543641,0.001430668,-0.742621615,0.669479881,196,11
1598870208.897917747,0.005466748,0.396216193,0.103008443,0.019010567,0.000578178,-0.744075861,0.667824361,197,11
1598870208.932045460,0.007709485,0.403455935,0.101601896,0.020384793,-0.000636940,-0.745897161,0.665748812,197,11
1598870208.965272188,0.010248491,0.410282803,0.100281973,0.021594164,-0.001972027,-0.747680946,0.663704005,197,11
1598870208.999027491,0.011877325,0.416421830,0.099715816,0.022972610,-0.003349366,-0.749295044,0.661829266,196,11
1598870209.032243967,-0.014988674,0.398518368,0.087638508,0.017873133,-0.004291131,-0.740547469,0.671752621,54,11
1598870209.065040588,-0.019708895,0.394108739,0.084300547,0.017077361,-0.001892847,-0.739397181,0.673050214,183,11
1598870209.099338770,-0.019014338,0.397838269,0.083416253,0.018231593,0.000527136,-0.738941709,0.673522443,182,11
1598870209.136433601,-0.016809498,0.402685038,0.083093875,0.018600444,0.004081563,-0.738132363,0.674387114,182,11
1598870209.169006109,-0.015033727,0.406101748,0.083549191,0.018891691,0.006504299,-0.737078622,0.675511586,181,11
1598870209.202074289,-0.015476996,0.411726470,0.082633991,0.018862587,0.006628116,-0.735911004,0.676783027,176,11
1598870209.234514952,-0.015004831,0.413631209,0.083728152,0.019330997,0.006004857,-0.734889393,0.677884824,176,11
