timestamp,tracking_ms,estimator_ms,total_ms,observations
1598870181.880224466,22.043459,0.000530,22.057129,0
1598870181.917529106,22.672125,0.006100,22.679135,234
1598870181.940813303,7.785837,0.011050,7.797537,374
1598870181.974414825,6.244393,0.011240,6.256103,394
1598870182.008227587,3.166767,0.008850,3.176177,396
1598870182.041640520,3.039436,0.009670,3.049816,396
1598870182.075725794,3.022626,0.009750,3.033056,396
1598870182.108786345,1.996207,0.007750,2.004517,400
1598870182.141568184,1.632344,0.007060,1.639864,400
1598870182.175574541,1.682605,0.005960,1.688905,400
1598870182.215332508,1.993647,0.005960,2.000137,400
1598870182.246270657,1.663055,0.005460,1.668935,400
1598870182.276529312,1.676324,0.005600,1.682244,400
1598870182.309342623,1.606453,0.005010,1.611793,400
1598870182.343000889,1.710924,0.004850,1.716034,400
1598870182.375574589,1.630214,0.005640,1.636124,400
1598870182.408781767,1.652684,0.005330,1.658304,400
1598870182.441195965,1.258011,0.004980,1.263321,400
1598870182.475506067,2.088687,0.009071,2.098028,398
1598870182.508774042,2.031298,0.007450,2.039158,398
1598870182.542677641,2.018607,0.008300,2.027207,398
1598870182.574922800,2.031667,0.008980,2.040917,398
1598870182.610951424,2.234389,0.008570,2.243229,398
1598870182.675121307,2.043478,0.009000,2.052918,398
1598870182.710199594,2.204629,0.008690,2.214039,398
1598870182.742533922,2.026298,0.007550,2.034258,398
1598870182.775039673,2.219389,0.007010,2.226679,398
1598870182.808820724,2.035747,0.006720,2.042817,398
1598870182.842591763,1.315701,0.005730,1.321821,400
1598870182.876286983,1.322772,0.004830,1.328022,400
1598870182.915309906,1.398002,0.004750,1.403102,400
1598870182.943991423,1.141619,0.004111,1.146190,400
1598870182.975965977,1.132259,0.003691,1.136210,400
1598870183.010370255,1.129360,0.003530,1.133140,400
1598870183.042045832,1.106870,0.003340,1.110450,400
1598870183.075617790,1.136220,0.003500,1.140010,400
1598870183.110783815,1.318881,0.003460,1.322611,400
1598870183.143340826,1.379812,0.003560,1.383702,400
1598870183.176972628,1.119090,0.003220,1.122750,400
1598870183.211669207,1.120710,0.003060,1.124040,400
1598870183.243534803,1.297572,0.003350,1.301192,400
1598870183.277349472,1.384742,0.003370,1.388392,400
1598870183.310212612,1.168350,0.003030,1.171760,400
1598870183.342927456,1.298201,0.003180,1.301641,400
1598870183.376801968,1.115260,0.002980,1.118510,400
1598870183.410885334,1.162960,0.003140,1.166350,400
1598870183.444266081,1.145070,0.003090,1.148420,400
1598870183.478903770,1.365281,0.003291,1.368822,400
1598870183.511851072,1.132700,0.003110,1.136250,400
1598870183.543994665,1.108359,0.002990,1.111599,400
1598870183.577246666,1.297641,0.003270,1.301171,400
1598870183.610219240,1.403552,0.003420,1.407282,400
1598870183.643236876,1.147620,0.003210,1.151360,400
