timestamp,tracking_ms,estimator_ms,total_ms,observations
1598871591.153193235,22.104060,0.004240,22.126540,0
1598871591.186308146,22.513574,0.006880,22.521374,256
1598871591.219346046,6.525185,0.012120,6.538615,386
1598871591.254549265,2.860334,0.010400,2.871484,396
1598871591.286586046,2.785914,0.008680,2.795634,396
1598871591.320777416,3.068796,0.008770,3.078356,396
1598871591.354176998,2.510552,0.011320,2.522442,396
1598871591.386811972,2.141228,0.009890,2.152108,396
1598871591.421880245,2.263520,0.010480,2.274310,396
1598871591.454600573,2.450312,0.009780,2.460702,396
1598871591.488434076,2.188668,0.009680,2.199108,396
1598871591.520191669,2.426711,0.008780,2.436291,396
1598871591.553972483,2.332710,0.009260,2.342600,396
1598871591.587365389,2.290560,0.008090,2.299360,396
1598871591.621494293,2.292870,0.007920,2.301370,396
1598871591.654116154,2.336520,0.010220,2.347220,396
1598871591.687384844,2.295590,0.008970,2.305310,396
1598871591.722187757,2.330630,0.008290,2.339660,396
1598871591.753817797,2.406570,0.010460,2.417560,396
1598871591.787176609,2.087488,0.007980,2.095738,396
1598871591.822998524,2.329460,0.008040,2.338150,396
1598871591.853981733,2.267510,0.010510,2.278570,396
1598871591.888051510,2.186109,0.008550,2.195359,396
1598871591.921771049,2.378790,0.009670,2.388890,396
1598871591.953950167,2.364390,0.009690,2.375020,396
1598871591.988460302,2.222639,0.007840,2.231219,396
1598871592.022180796,2.290220,0.007200,2.297930,396
1598871592.055176020,2.387120,0.006580,2.394140,396
1598871592.089302301,2.156489,0.006080,2.163309,396
1598871592.120498180,2.359210,0.006160,2.366110,396
1598871592.153878450,4.388807,0.007750,4.396967,396
1598871592.187490702,2.230329,0.006450,2.237449,398
1598871592.221324921,2.179609,0.007120,2.186979,398
1598871592.254231691,2.325950,0.006740,2.333200,398
1598871592.288332701,2.194658,0.006650,2.201778,398
1598871592.321371794,2.291780,0.006790,2.299250,398
1598871592.356989384,2.352430,0.006090,2.359070,398
1598871592.389096737,2.318090,0.006970,2.325790,398
1598871592.422244787,2.199179,0.006120,2.205579,398
1598871592.454481602,2.435051,0.006250,2.441811,398
1598871592.489743948,2.278690,0.006690,2.285910,396
1598871592.522625208,5.397246,0.009160,5.407256,394
1598871592.553668261,2.595073,0.008450,2.604673,396
1598871592.588803291,5.341136,0.007730,5.349146,366
1598871592.621601343,5.819680,0.011270,5.832000,370
1598871592.655727863,4.608839,0.008851,4.618160,386
1598871592.688463449,4.295327,0.008580,4.304357,390
1598871592.721915960,5.355446,0.008930,5.364816,392
1598871592.756651163,4.467838,0.008800,4.477678,394
1598871592.787650347,2.416001,0.008040,2.424711,398
1598871592.821900129,2.340000,0.007680,2.347980,398
1598871592.856336832,2.839214,0.007350,2.847284,398
1598871592.889102459,2.657753,0.008780,2.666973,398
1598871592.923094749,4.366817,0.008330,4.375807,392
1598871592.956721783,2.448191,0.007770,2.456831,396
1598871592.987984180,2.455081,0.008280,2.463861,394
1598871593.021419764,2.443121,0.007650,2.451481,398
1598871593.055137634,5.467437,0.009020,5.477037,396
1598871593.087793589,5.196794,0.008970,5.206074,396
1598871593.121165276,6.139173,0.008770,6.148673,390
1598871593.154644728,5.801139,0.094431,5.896060,390
1598871593.188634396,5.906521,2.265969,8.173250,392
1598871593.224173546,6.329485,0.036900,6.367125,392
1598871593.257035255,7.038161,0.038150,7.076721,386
1598871593.287947893,6.927089,0.036771,6.964850,390
1598871593.321732998,5.311386,0.038120,5.350296,394
1598871593.355727434,5.267615,0.036971,5.305376,396
1598871593.388432503,5.149394,0.037831,5.187775,396
1598871593.422191381,5.924781,0.039031,5.964272,394
1598871593.454807281,2.521461,0.038581,2.561292,398
1598871593.488790989,2.358280,0.038130,2.397020,398
1598871593.521356583,2.301490,0.038130,2.340360,398
1598871593.556191444,2.247569,0.036820,2.284679,398
1598871593.589862347,2.215399,0.038700,2.254699,398
1598871593.622287035,2.450470,0.043151,2.494321,398
1598871593.654867411,2.320320,0.037930,2.358550,398
1598871593.688017368,2.370630,0.037000,2.408370,398
1598871593.727145433,2.450711,0.040620,2.492071,398
1598871593.755901337,2.255620,0.036940,2.292980,398
1598871593.788442612,2.329729,0.039431,2.369750,398
1598871593.822447300,2.374741,0.040340,2.415881,398
1598871593.855166435,2.433941,0.039360,2.473791,398
1598871593.888379335,2.348430,0.037680,2.386620,398
1598871593.921585560,2.327080,0.038760,2.366650,398
1598871593.954582453,2.307580,0.037440,2.345590,398
1598871593.988956690,5.131974,0.043461,5.175945,396
1598871594.022657633,4.285576,0.040401,4.326767,396
1598871594.055517197,5.302066,0.040200,5.343046,396
1598871594.090171337,2.273380,0.038880,2.312850,398
1598871594.121995926,5.292036,0.042130,5.334886,398
1598871594.155205488,5.936841,0.038250,5.975661,398
1598871594.189525604,2.325170,0.039750,2.365440,398
1598871594.223993301,1.367902,0.044420,1.413492,400
1598871594.254616022,1.615074,0.055150,1.671024,400
1598871594.290164709,5.119144,0.042020,5.161994,398
1598871594.320995569,3.367759,0.044731,3.413230,398
1598871594.354014397,1.615004,0.038190,1.653824,400
1598871594.388583183,1.482012,0.036980,1.519482,400
1598871594.423456192,1.509293,0.035691,1.545794,400
1598871594.454524755,1.361551,0.035921,1.397772,400
1598871594.489160061,1.243690,0.035760,1.280280,400
1598871594.520514488,1.350781,0.033181,1.384292,400
1598871594.554131269,1.526313,0.036710,1.563833,400
1598871594.588678598,2.322840,0.037121,2.360511,398
1598871594.621993303,1.499713,0.036330,1.536793,400
1598871594.656592369,1.594984,0.035780,1.631444,400
1598871594.690191984,1.395272,0.033100,1.428902,400
1598871594.722722054,1.494913,0.036730,1.532203,400
1598871594.755879402,1.523433,0.036600,1.560803,400
1598871594.790147305,1.227441,0.032030,1.259741,400
1598871594.823736429,1.619334,0.036690,1.658584,400
1598871594.855813026,1.516283,0.037870,1.554873,400
1598871594.890455961,1.493132,0.034571,1.528933,400
1598871594.923721313,5.315806,0.041740,5.358016,398
1598871594.956824541,5.659688,0.039850,5.700248,384
1598871594.990240574,8.002678,0.038241,8.041239,342
1598871595.022737741,8.531543,0.162781,8.695094,360
1598871595.056255102,6.032082,0.229252,6.261734,384
1598871595.090213776,4.346478,0.057130,4.404808,396
1598871595.122877359,3.445459,0.059651,3.505700,398
1598871595.157406092,3.368458,0.084491,3.453920,396
1598871595.189605713,7.268862,0.088961,7.358713,390
1598871595.222857475,4.992873,0.089110,5.082693,388
1598871595.256060362,5.796839,0.103371,5.901010,382
1598871595.291481256,9.690013,0.526585,10.217188,336
1598871595.324150324,5.535757,0.079931,5.616748,388
1598871595.355849981,4.503519,0.073191,4.577290,396
1598871595.391024351,6.081602,0.075131,6.157273,394
1598871595.423627853,1.544923,0.070021,1.615644,400
1598871595.457639694,1.602023,0.072921,1.675494,400
1598871595.490472317,1.346122,0.069680,1.416372,400
1598871595.523647547,1.561364,0.069841,1.631915,400
1598871595.556540012,1.419452,0.072161,1.492273,400
1598871595.590567827,1.293041,0.069510,1.363101,400
1598871595.622282267,1.504843,0.070611,1.576174,400
1598871595.658955812,1.474482,0.070371,1.545423,400
1598871595.691136360,1.280731,0.069091,1.350402,400
1598871595.723446608,1.430622,0.070511,1.501853,400
1598871595.756478786,1.531713,0.075331,1.608024,400
1598871595.788982630,1.433882,0.070671,1.505243,400
1598871595.822529793,1.299271,0.069121,1.368852,400
1598871595.858415842,1.603423,0.072311,1.676304,400
1598871595.890067816,1.200211,0.067750,1.268261,400
1598871595.923789978,1.549334,0.070700,1.620754,400
1598871595.955989361,1.425252,0.070551,1.496603,400
1598871595.991373301,1.346601,0.069591,1.416672,400
1598871596.024596453,1.370452,0.069381,1.440453,400
1598871596.058539152,1.540613,0.068151,1.609284,400
1598871596.089882851,1.362482,0.068810,1.431882,400
1598871596.124208212,1.450942,0.071241,1.522904,400
1598871596.158447266,1.493743,0.067800,1.562103,400
1598871596.191287518,1.254221,0.067780,1.322541,400
1598871596.223869562,1.470333,0.071960,1.543033,400
1598871596.257072449,1.396952,0.067741,1.465243,400
1598871596.290681601,1.276561,0.065641,1.342622,400
1598871596.324612617,1.487622,0.070511,1.559033,400
1598871596.356664419,1.433132,0.067491,1.501303,400
1598871596.389756441,1.424512,0.072841,1.498793,400
1598871596.423887968,1.411222,0.070241,1.482273,400
