timestamp,px,py,pz,qx,qy,qz,qw,features,clones
1403636581.763555527,0.009579769,0.155367395,-0.182824065,-0.804342620,0.058181706,-0.591302186,0.003092525,0,0
1403636581.813555479,0.004467592,0.149025799,-0.224088836,-0.804818445,0.058019726,-0.590640424,0.006698605,203,1
1403636581.863555431,-0.001579562,0.141017695,-0.265822840,-0.805658405,0.059564323,-0.589307139,0.009149982,203,2
1403636581.913555384,-0.011031686,0.139434733,-0.308056388,-0.807098876,0.058081627,-0.587469428,0.009879228,216,3
1403636581.963555574,-0.019902066,0.140189334,-0.350800789,-0.811043440,0.056962880,-0.582166527,0.006775242,202,4
1403636582.013555527,-0.016220322,0.152253276,-0.382653700,0.818592488,-0.052201154,0.571987257,0.003457768,215,5
1403636582.063555479,-0.012958440,0.154618116,-0.416164896,0.825108460,-0.051320710,0.562575954,0.008397007,203,6
1403636582.113555431,-0.012813575,0.160842197,-0.442984703,0.831112764,-0.045957567,0.554008817,0.014618727,222,7
1403636582.163555384,-0.011919655,0.165252063,-0.465250576,0.832817607,-0.045769062,0.551496195,0.013113886,220,8
1403636582.213555574,-0.008918219,0.167504189,-0.476354227,0.837875368,-0.042802003,0.544000598,0.014007321,226,9
1403636582.263555527,-0.010128342,0.168449365,-0.482923727,0.839472593,-0.042258305,0.541599499,0.013037752,257,10
1403636582.313555479,-0.008808435,0.168788995,-0.468968462,0.840466606,-0.041406872,0.540145422,0.012011590,253,11
1403636582.363555431,-0.006954951,0.163107695,-0.385945717,0.840692094,-0.040054392,0.539884960,0.012517158,104,11
1403636582.413555384,-0.006861099,0.163724060,-0.360943122,0.837137062,-0.039691922,0.545407826,0.012505773,246,11
1403636582.463555574,-0.003377775,0.166321667,-0.333626541,0.834162777,-0.038847281,0.549955327,0.014576992,234,11
1403636582.513555527,-0.001327616,0.167010147,-0.302708949,0.830496951,-0.037978878,0.555464722,0.017069312,260,11
1403636582.563555479,0.000841718,0.167705561,-0.271894088,0.827887674,-0.038802780,0.559232756,0.018843256,247,11
