# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1598870238.966464281082153,0.00197,0.00004,0.00021,0.00000,0.00000,0.00087,0.00308
1598870238.999444007873535,0.00242,0.00005,0.00189,0.00000,0.00088,0.00090,0.00614
1598870239.032275199890137,0.00237,0.00005,0.00005,0.00011,0.00000,0.00081,0.00339
1598870239.065094947814941,0.00196,0.00005,0.00003,0.00011,0.00000,0.00094,0.00309
1598870239.098911762237549,0.00230,0.00009,0.00032,0.00015,0.00000,0.00087,0.00372
1598870239.131494522094727,0.00195,0.00004,0.00016,0.00010,0.00000,0.00066,0.00291
1598870239.166377544403076,0.00213,0.00006,0.00003,0.00012,0.00000,0.00122,0.00358
1598870239.200424194335938,0.00187,0.00005,0.00018,0.00011,0.00000,0.00091,0.00312
1598870239.265804290771484,0.00224,0.00008,0.00021,0.00012,0.00000,0.00072,0.00338
1598870239.299389123916626,0.00173,0.00005,0.00013,0.00012,0.00000,0.00073,0.00276
1598870239.334681987762451,0.00210,0.00007,0.00023,0.00011,0.00008,0.00098,0.00358
1598870239.399705886840820,0.00185,0.00007,0.00023,0.00011,0.00000,0.00074,0.00300
1598870239.432891607284546,0.00178,0.00007,0.00009,0.00013,0.00000,0.00095,0.00301
1598870239.466419696807861,0.00167,0.00005,0.00006,0.00014,0.01649,0.00064,0.01905
1598870239.507371425628662,0.00234,0.00013,0.00003,0.00255,0.00000,0.00092,0.00598
1598870239.565568447113037,0.00191,0.00011,0.00010,0.00250,0.00077,0.00072,0.00611
1598870239.599246263504028,0.00192,0.00010,0.00021,0.00293,0.00000,0.00085,0.00601
1598870239.632615327835083,0.00202,0.00009,0.00000,0.00276,0.00000,0.00070,0.00557
1598870239.665606498718262,0.00193,0.00007,0.00007,0.00263,0.00000,0.00071,0.00542
1598870239.699188709259033,0.00203,0.00010,0.00001,0.00259,0.00000,0.00072,0.00544
1598870239.733064413070679,0.00187,0.00009,0.00003,0.00261,0.00129,0.00073,0.00662
