# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1598871595.127447605133057,0.00214,0.00006,0.00018,0.00000,0.00000,0.00091,0.00330
1598871595.192898988723755,0.00260,0.00006,0.00099,0.00000,0.00021,0.00065,0.00452
1598871595.226101875305176,0.00203,0.00004,0.00004,0.00000,0.00000,0.00057,0.00268
1598871595.261522769927979,0.00174,0.00004,0.00007,0.00000,0.00000,0.00064,0.00249
1598871595.294191837310791,0.00180,0.00005,0.00013,0.00000,0.00000,0.00063,0.00261
1598871595.361065864562988,0.00186,0.00007,0.00004,0.00000,0.00000,0.00070,0.00267
1598871595.393669366836548,0.00181,0.00006,0.00000,0.00000,0.00000,0.00073,0.00261
1598871595.427681207656860,0.00146,0.00004,0.00011,0.00000,0.00000,0.00069,0.00231
1598871595.460513830184937,0.00122,0.00004,0.00002,0.00000,0.00005,0.00068,0.00201
1598871595.493689060211182,0.00194,0.00006,0.00003,0.00000,0.00034,0.00098,0.00335
1598871595.526581525802612,0.00178,0.00006,0.00000,0.00003,0.00000,0.00094,0.00282
1598871595.560609340667725,0.00166,0.00005,0.00000,0.00003,0.00002,0.00100,0.00276
1598871595.628997325897217,0.00180,0.00008,0.00001,0.00004,0.00000,0.00077,0.00270
1598871595.693488121032715,0.00175,0.00008,0.00019,0.00004,0.00304,0.00075,0.00585
1598871595.726520299911499,0.00192,0.00007,0.00001,0.00021,0.00050,0.00102,0.00374
1598871595.759024143218994,0.00180,0.00006,0.00001,0.00024,0.00002,0.00092,0.00305
1598871595.792571306228638,0.00150,0.00004,0.00000,0.00022,0.00007,0.00069,0.00253
1598871595.828457355499268,0.00133,0.00005,0.00002,0.00022,0.00048,0.00068,0.00278
1598871595.893831491470337,0.00168,0.00008,0.00001,0.00029,0.00000,0.00091,0.00296
1598871595.961414813995361,0.00208,0.00008,0.00001,0.00029,0.00005,0.00075,0.00325
1598871595.994637966156006,0.00140,0.00005,0.00000,0.00026,0.00005,0.00071,0.00247
1598871596.028580665588379,0.00257,0.00008,0.00001,0.00030,0.00004,0.00097,0.00396
1598871596.094249725341797,0.00231,0.00009,0.00001,0.00029,0.00000,0.00080,0.00350
1598871596.128488779067993,0.00200,0.00007,0.00001,0.00030,0.00005,0.00094,0.00337
1598871596.161329030990601,0.00157,0.00006,0.00000,0.00027,0.00000,0.00073,0.00263
1598871596.193911075592041,0.00178,0.00004,0.00019,0.00027,0.00123,0.00070,0.00421
1598871596.227113962173462,0.00165,0.00005,0.00000,0.00035,0.00007,0.00069,0.00282
1598871596.260723114013672,0.00138,0.00004,0.00000,0.00035,0.00002,0.00069,0.00249
1598871596.294654130935669,0.00130,0.00005,0.00000,0.00035,0.00007,0.00069,0.00246
1598871596.359797954559326,0.00163,0.00006,0.00000,0.00035,0.00048,0.00069,0.00322
1598871596.393929481506348,0.00185,0.00007,0.00000,0.00045,0.00000,0.00101,0.00339
1598871596.426599264144897,0.00179,0.00006,0.00000,0.00044,0.00005,0.00085,0.00319
1598871596.460065364837646,0.00159,0.00007,0.00000,0.00044,0.00005,0.00097,0.00313
1598871596.492686271667480,0.00182,0.00008,0.00000,0.00044,0.00014,0.00097,0.00347
1598871596.527933835983276,0.00164,0.00008,0.00000,0.00044,0.00000,0.00093,0.00309
1598871596.560720682144165,0.00173,0.00008,0.00000,0.00044,0.00003,0.00102,0.00332
1598871596.594696044921875,0.00171,0.00007,0.00000,0.00044,0.00000,0.00096,0.00318
1598871596.628062725067139,0.00180,0.00008,0.00021,0.00046,0.00045,0.00115,0.00415
1598871596.660404920578003,0.00198,0.00007,0.00001,0.00045,0.00008,0.00083,0.00342
1598871596.692846059799194,0.00228,0.00010,0.00001,0.00057,0.00003,0.00086,0.00386
1598871596.726685762405396,0.00236,0.00005,0.00000,0.00043,0.00009,0.00091,0.00385
1598871596.761021614074707,0.00182,0.00004,0.00000,0.00043,0.00008,0.00081,0.00319
1598871596.794501543045044,0.00226,0.00009,0.00001,0.00045,0.00000,0.00099,0.00380
1598871596.827666282653809,0.00202,0.00007,0.00000,0.00045,0.00004,0.00133,0.00391
1598871596.861776590347290,0.00190,0.00007,0.00000,0.00044,0.00005,0.00079,0.00326
1598871596.894568443298340,0.00194,0.00008,0.00000,0.00044,0.00015,0.00136,0.00398
1598871596.927631855010986,0.00206,0.00008,0.00001,0.00046,0.00000,0.00087,0.00348
1598871596.961561441421509,0.00165,0.00005,0.00000,0.00042,0.00003,0.00072,0.00287
1598871597.027972936630249,0.00212,0.00009,0.00001,0.00044,0.00000,0.00074,0.00340
1598871597.061848163604736,0.00148,0.00004,0.00018,0.00055,0.00061,0.00073,0.00359
1598871597.095013618469238,0.00224,0.00007,0.00001,0.00046,0.00008,0.00075,0.00361
1598871597.127854824066162,0.00174,0.00004,0.00000,0.00041,0.00002,0.00069,0.00291
1598871597.160566091537476,0.00183,0.00005,0.00000,0.00041,0.00007,0.00067,0.00304
1598871597.194384336471558,0.00160,0.00005,0.00001,0.00036,0.00007,0.00068,0.00278
1598871597.227133750915527,0.00263,0.00007,0.00001,0.00039,0.00000,0.00080,0.00390
1598871597.259887695312500,0.00209,0.00007,0.00001,0.00039,0.00005,0.00080,0.00341
1598871597.293432950973511,0.00227,0.00004,0.00000,0.00036,0.00005,0.00080,0.00353
1598871597.327241897583008,0.00216,0.00008,0.00001,0.00040,0.00025,0.00101,0.00391
1598871597.361681461334229,0.00176,0.00007,0.00000,0.00038,0.00000,0.00078,0.00299
1598871597.401596069335938,0.00157,0.00006,0.00001,0.00036,0.00003,0.00069,0.00271
1598871597.460292339324951,0.00186,0.00005,0.00000,0.00036,0.00000,0.00068,0.00295
1598871597.493585109710693,0.00178,0.00007,0.00020,0.00038,0.00045,0.00076,0.00364
1598871597.527621269226074,0.00212,0.00007,0.00001,0.00038,0.00008,0.00074,0.00340
1598871597.561337947845459,0.00151,0.00005,0.00000,0.00036,0.00002,0.00069,0.00263
1598871597.627680540084839,0.00242,0.00008,0.00001,0.00039,0.00009,0.00081,0.00380
1598871597.661158561706543,0.00208,0.00008,0.00001,0.00040,0.00008,0.00097,0.00361
1598871597.695127487182617,0.00195,0.00007,0.00000,0.00038,0.00000,0.00077,0.00317
1598871597.727648258209229,0.00219,0.00008,0.00000,0.00040,0.00004,0.00099,0.00370
1598871597.761738538742065,0.00215,0.00008,0.00001,0.00038,0.00005,0.00099,0.00366
1598871597.794501543045044,0.00223,0.00006,0.00001,0.00038,0.00023,0.00077,0.00368
1598871597.827141284942627,0.00269,0.00009,0.00003,0.00058,0.00000,0.00120,0.00460
1598871597.861245632171631,0.00178,0.00006,0.00003,0.00040,0.00003,0.00079,0.00309
1598871597.901178836822510,0.00201,0.00005,0.00000,0.00035,0.00000,0.00069,0.00310
1598871597.963001728057861,0.00159,0.00007,0.00018,0.00035,0.00044,0.00072,0.00334
1598871598.028642892837524,0.00228,0.00009,0.00000,0.00036,0.00006,0.00099,0.00379
1598871598.062264680862427,0.00179,0.00007,0.00001,0.00035,0.00002,0.00094,0.00317
1598871598.096335887908936,0.00226,0.00007,0.00000,0.00036,0.00009,0.00096,0.00375
1598871598.162598848342896,0.00203,0.00007,0.00000,0.00035,0.00008,0.00081,0.00335
1598871598.227294445037842,0.00243,0.00007,0.00000,0.00034,0.00000,0.00081,0.00366
1598871598.260936737060547,0.00186,0.00005,0.00000,0.00034,0.00004,0.00086,0.00316
1598871598.294368028640747,0.00234,0.00008,0.00004,0.00033,0.00005,0.00097,0.00381
1598871598.328058004379272,0.00214,0.00007,0.00004,0.00028,0.00026,0.00102,0.00380
1598871598.360403299331665,0.00246,0.00008,0.00002,0.00029,0.00000,0.00125,0.00409
1598871598.394528627395630,0.00157,0.00006,0.00001,0.00029,0.00004,0.00078,0.00275
1598871598.429095268249512,0.00186,0.00004,0.00000,0.00027,0.00000,0.00068,0.00286
1598871598.494642019271851,0.00156,0.00006,0.00014,0.00026,0.00046,0.00069,0.00317
1598871598.528775215148926,0.00201,0.00004,0.00003,0.00026,0.00007,0.00069,0.00310
1598871598.595384359359741,0.00189,0.00009,0.00001,0.00029,0.00000,0.00074,0.00302
1598871598.628279685974121,0.00209,0.00004,0.00002,0.00024,0.00019,0.00068,0.00327
1598871598.662044525146484,0.00149,0.00004,0.00002,0.00025,0.00007,0.00068,0.00256
1598871598.694483041763306,0.00215,0.00005,0.00000,0.00024,0.00000,0.00071,0.00315
1598871598.727991580963135,0.00154,0.00005,0.00003,0.00025,0.00004,0.00070,0.00260
1598871598.760270118713379,0.00246,0.00008,0.00001,0.00028,0.00005,0.00101,0.00388
1598871598.794599533081055,0.00195,0.00006,0.00001,0.00026,0.00031,0.00098,0.00357
1598871598.828450679779053,0.00268,0.00007,0.00000,0.00026,0.00000,0.00108,0.00409
1598871598.896354436874390,0.00246,0.00008,0.00004,0.00027,0.00003,0.00082,0.00371
1598871598.928826570510864,0.00239,0.00007,0.00001,0.00028,0.00003,0.00098,0.00376
1598871598.961806297302246,0.00178,0.00005,0.00011,0.00024,0.00045,0.00072,0.00335
1598871598.995403766632080,0.00253,0.00008,0.00005,0.00027,0.00006,0.00075,0.00374
1598871599.029413461685181,0.00224,0.00008,0.00003,0.00028,0.00009,0.00103,0.00375
1598871599.062342882156372,0.00243,0.00006,0.00002,0.00026,0.00010,0.00096,0.00384
1598871599.097459793090820,0.00244,0.00007,0.00004,0.00037,0.00011,0.00086,0.00390
1598871599.161997795104980,0.00304,0.00008,0.00003,0.00025,0.00000,0.00084,0.00426
1598871599.195290327072144,0.00217,0.00005,0.00002,0.00023,0.00008,0.00092,0.00348
1598871599.228272676467896,0.00246,0.00008,0.00007,0.00022,0.00003,0.00097,0.00382
1598871599.261697053909302,0.00173,0.00005,0.00002,0.00019,0.00011,0.00071,0.00282
1598871599.294910192489624,0.00222,0.00004,0.00006,0.00018,0.00000,0.00074,0.00325
1598871599.328344821929932,0.00176,0.00004,0.00000,0.00019,0.00155,0.00072,0.00427
1598871599.361742734909058,0.00223,0.00005,0.00005,0.00038,0.00001,0.00122,0.00395
1598871599.394730567932129,0.00177,0.00006,0.00005,0.00037,0.00047,0.00090,0.00362
1598871599.428729057312012,0.00167,0.00004,0.00003,0.00032,0.00010,0.00071,0.00288
1598871599.461511373519897,0.00177,0.00005,0.00002,0.00032,0.00006,0.00072,0.00293
1598871599.495121240615845,0.00155,0.00004,0.00003,0.00032,0.00054,0.00074,0.00322
1598871599.528008460998535,0.00167,0.00006,0.00001,0.00039,0.00107,0.00079,0.00400
1598871599.561935186386108,0.00178,0.00006,0.00001,0.00062,0.00044,0.00072,0.00363
1598871599.595170021057129,0.00203,0.00007,0.00004,0.00066,0.00023,0.00077,0.00380
1598871599.660580635070801,0.00240,0.00011,0.00024,0.00072,0.00013,0.00076,0.00437
1598871599.695242881774902,0.00202,0.00008,0.00004,0.00074,0.00048,0.00077,0.00413
1598871599.728859186172485,0.00246,0.00007,0.00019,0.00083,0.00051,0.00085,0.00490
1598871599.761800050735474,0.00195,0.00007,0.00003,0.00092,0.00008,0.00085,0.00390
1598871599.796240806579590,0.00203,0.00010,0.00004,0.00096,0.00028,0.00103,0.00445
1598871599.828612804412842,0.00200,0.00006,0.00027,0.00099,0.00034,0.00072,0.00439
1598871599.862021923065186,0.00175,0.00007,0.00003,0.00103,0.00194,0.00075,0.00557
1598871599.895510435104370,0.00186,0.00006,0.00001,0.00133,0.00004,0.00076,0.00406
1598871599.928906202316284,0.00178,0.00006,0.00001,0.00132,0.00038,0.00076,0.00429
1598871599.961668252944946,0.00173,0.00006,0.00001,0.00133,0.00061,0.00076,0.00448
1598871599.994930028915405,0.00175,0.00006,0.00003,0.00142,0.00004,0.00075,0.00405
1598871600.028725862503052,0.00219,0.00011,0.00002,0.00151,0.00003,0.00113,0.00499
1598871600.062607526779175,0.00196,0.00010,0.00002,0.00149,0.00024,0.00098,0.00480
1598871600.095665693283081,0.00209,0.00009,0.00002,0.00145,0.00066,0.00087,0.00517
1598871600.129140377044678,0.00199,0.00005,0.00001,0.00154,0.00015,0.00074,0.00448
1598871600.163128614425659,0.00224,0.00010,0.00004,0.00158,0.00019,0.00086,0.00502
1598871600.228743791580200,0.00237,0.00010,0.00001,0.00183,0.00013,0.00095,0.00538
1598871600.262256383895874,0.00191,0.00012,0.00022,0.00161,0.00017,0.00111,0.00515
1598871600.296205997467041,0.00282,0.00013,0.00002,0.00164,0.00010,0.00083,0.00554
1598871600.329098463058472,0.00274,0.00010,0.00001,0.00175,0.00006,0.00090,0.00556
1598871600.362485647201538,0.00198,0.00010,0.00001,0.00161,0.00010,0.00083,0.00464
