sequence,estimator,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,jitter_ms
MH_01,DOD,3682,3.5830,3.3967,5.3930,6.2001,11.3232,2.8034
MH_01,OpenVINS,3618,7.1525,6.6600,11.2700,14.7630,36.9600,8.1030
MH_02,DOD,3040,3.7136,3.5488,5.7493,6.9075,8.3711,3.3587
MH_02,OpenVINS,2981,7.2229,6.7800,11.1000,14.5500,21.5200,7.7700
MH_03,DOD,2700,4.0495,3.9422,6.1670,7.3105,11.5851,3.3683
MH_03,OpenVINS,2594,7.4118,6.9100,12.3835,15.4114,21.4900,8.5014
MH_04,DOD,2032,3.6907,3.5796,6.1040,7.2871,8.6952,3.7075
MH_04,OpenVINS,1961,6.8101,6.5200,11.8300,14.6580,22.6900,8.1380
MH_05,DOD,2272,3.8477,3.7030,5.9738,7.0535,27.1853,3.3506
MH_05,OpenVINS,2154,7.0491,6.5750,11.8735,15.3447,24.3600,8.7697
V1_01,DOD,2911,4.3921,4.3601,6.1722,7.2744,19.1609,2.9143
V1_01,OpenVINS,2776,8.2591,7.3900,13.7750,16.6425,33.3200,9.2525
V1_02,DOD,1709,4.3470,4.2926,6.4245,7.8709,15.0051,3.5783
V1_02,OpenVINS,1600,7.7349,7.2200,12.1610,15.5419,32.0400,8.3219
V1_03,DOD,2149,4.0662,3.9248,6.3179,7.8168,17.5855,3.8920
V1_03,OpenVINS,1990,6.9241,6.4800,11.4675,14.0010,20.1900,7.5210
circle,DOD,4758,3.2845,3.4258,5.2444,6.0256,8.7906,2.5998
circle,OpenVINS,3931,6.5042,6.4500,8.7800,11.0970,19.3500,4.6470
infinity,DOD,4471,3.6458,3.7097,5.2404,6.0217,7.9201,2.3120
infinity,OpenVINS,3680,7.2590,6.9800,9.6800,11.8205,14.3100,4.8405
