sequence,estimator,max_rss_kb,max_rss_mb,wall_s
MH_01,DOD,201448,196.7,16.819
MH_01,OpenVINS,139232,136.0,28.754
MH_02,DOD,197088,192.5,15.144
MH_02,OpenVINS,123824,120.9,23.571
MH_03,DOD,200020,195.3,17.793
MH_03,OpenVINS,158464,154.8,39.348
MH_04,DOD,195692,191.1,96.781
MH_04,OpenVINS,147436,144.0,17.020
MH_05,DOD,200568,195.9,29.051
MH_05,OpenVINS,143796,140.4,17.670
V1_01,DOD,208920,204.0,15.189
V1_01,OpenVINS,118588,115.8,25.408
V1_02,DOD,199416,194.7,9.080
V1_02,OpenVINS,111712,109.1,14.376
V1_03,DOD,201944,197.2,10.431
V1_03,OpenVINS,113752,111.1,16.343
circle,DOD,201796,197.1,16.285
circle,OpenVINS,113076,110.4,27.240
infinity,DOD,197676,193.0,21.308
infinity,OpenVINS,110108,107.5,27.717
