timestamp,px,py,pz,qx,qy,qz,qw
1598871597.46029,-0.011478,0.013615,0.001432,-0.014278,-0.002393,0.999895,0.000175
1598871597.49422,0.001600,-0.002478,0.000622,0.013794,0.003750,-0.999898,0.000131
1598871597.52826,0.001507,-0.002432,0.000466,0.013800,0.003794,-0.999898,0.000243
1598871597.56197,0.001357,-0.002360,0.000312,0.013826,0.003790,-0.999897,0.000247
1598871597.62832,0.001102,-0.002107,0.000010,0.014092,0.003393,-0.999895,0.000364
1598871597.66179,0.000981,-0.001969,-0.000143,0.014183,0.003295,-0.999894,0.000358
1598871597.69576,0.000838,-0.001791,-0.000295,0.014391,0.003046,-0.999892,0.000340
1598871597.72828,0.000711,-0.001633,-0.000461,0.014547,0.002917,-0.999890,0.000376
1598871597.76237,0.000556,-0.001444,-0.000632,0.014668,0.002811,-0.999888,0.000375
1598871597.79514,0.000376,-0.001217,-0.000805,0.014843,0.002665,-0.999886,0.000465
1598871597.82778,0.000160,-0.001014,-0.000914,0.015064,0.002465,-0.999883,0.000458
1598871597.86188,-0.000051,-0.000799,-0.001068,0.015136,0.002394,-0.999882,0.000420
1598871597.90181,-0.000331,-0.000521,-0.001267,0.015283,0.002310,-0.999880,0.000390
1598871597.96405,-0.000397,-0.002230,-0.000671,-0.015003,-0.002602,0.999884,0.000273
1598871598.02961,-0.000740,-0.001828,-0.001248,-0.015044,-0.002525,0.999884,0.000094
1598871598.06324,-0.000921,-0.001380,-0.001764,-0.015034,-0.002500,0.999884,0.000022
1598871598.09726,-0.001220,-0.001550,-0.002077,-0.014892,-0.002690,0.999885,0.000090
1598871598.16347,-0.001324,-0.001165,-0.002195,-0.014812,-0.002745,0.999886,0.000351
1598871598.22816,-0.001372,-0.000867,-0.002325,-0.014872,-0.002617,0.999886,0.000117
1598871598.26185,-0.001457,-0.000599,-0.002494,-0.015065,-0.002437,0.999884,0.000155
1598871598.29545,-0.001829,-0.000766,-0.002640,-0.015243,-0.002199,0.999881,0.000666
1598871598.32948,-0.002035,-0.000728,-0.002534,-0.015364,-0.001983,0.999879,0.001330
1598871598.36183,-0.002102,-0.000627,-0.002536,-0.015364,-0.001860,0.999878,0.002056
1598871598.39589,-0.002297,-0.000601,-0.002688,-0.015492,-0.001758,0.999874,0.002991
1598871598.43050,-0.002311,-0.000352,-0.002867,-0.015535,-0.001678,0.999870,0.003989
1598871598.49602,-0.002131,-0.000278,-0.003119,-0.015613,-0.001482,0.999860,0.005912
1598871598.53016,-0.001840,0.000019,-0.003151,-0.015689,-0.001317,0.999850,0.007160
1598871598.59675,-0.001624,0.000188,-0.003307,-0.015781,-0.000928,0.999825,0.009961
1598871598.62961,-0.001348,0.000367,-0.003371,-0.015792,-0.000661,0.999811,0.011344
1598871598.66331,-0.001068,0.000544,-0.003416,-0.015811,-0.000309,0.999793,0.012814
1598871598.69576,-0.000810,0.000421,-0.003440,-0.015769,0.000305,0.999773,0.014339
1598871598.72929,-0.000507,0.000675,-0.003371,-0.015709,0.001016,0.999753,0.015683
1598871598.76164,-0.000291,0.001198,-0.003181,-0.015724,0.001734,0.999732,0.016914
1598871598.79593,0.001086,0.000653,-0.002045,-0.015773,0.002408,0.999702,0.018501
1598871598.82939,0.001472,0.000782,-0.001928,-0.015797,0.002882,0.999658,0.020626
1598871598.89909,0.000484,0.003212,-0.002694,-0.015973,0.002959,0.999548,0.025277
1598871598.93246,-0.000776,0.001006,-0.002515,-0.015380,0.003595,0.999459,0.028843
1598871598.96658,-0.002097,0.001560,-0.003626,-0.014344,0.004151,0.999376,0.032021
1598871599.00019,-0.002537,0.001684,-0.003883,-0.013173,0.004602,0.999270,0.035571
1598871599.03408,-0.002660,0.001983,-0.003943,-0.012652,0.004364,0.999145,0.039123
1598871599.06723,-0.001886,0.002656,-0.003944,-0.012883,0.003188,0.999017,0.042294
1598871599.10315,-0.000711,0.003344,-0.003431,-0.014401,0.001660,0.998874,0.045174
1598871599.16876,0.002247,0.005199,-0.002456,-0.017734,-0.000733,0.998589,0.050052
1598871599.20254,0.003878,0.005984,-0.001854,-0.019098,-0.001802,0.998436,0.052512
1598871599.23508,0.006431,0.006985,-0.000303,-0.019967,-0.002487,0.998287,0.054940
1598871599.26714,0.008442,0.007799,0.000943,-0.020459,-0.002847,0.998128,0.057570
1598871599.30015,0.009295,0.008014,0.001463,-0.020430,-0.002819,0.997970,0.060256
1598871599.33295,0.009401,0.008118,0.001579,-0.020226,-0.002408,0.997798,0.063120
1598871599.36634,0.010307,0.008817,0.002494,-0.020034,-0.001644,0.997650,0.065505
1598871599.39873,0.008360,0.009744,0.001874,-0.020230,-0.000452,0.997444,0.068527
1598871599.43286,0.007972,0.010046,0.002105,-0.021037,0.000663,0.997214,0.071566
1598871599.46586,0.007856,0.010257,0.002391,-0.022162,0.001277,0.996975,0.074486
1598871599.49963,0.008790,0.010606,0.003082,-0.023031,0.001448,0.996759,0.077064
1598871599.53233,0.008796,0.010542,0.003507,-0.023428,0.001748,0.996550,0.079594
1598871599.56576,0.008677,0.010405,0.003977,-0.023034,0.002452,0.996352,0.082137
1598871599.59844,0.008334,0.009842,0.004370,-0.021699,0.003905,0.996165,0.084670
1598871599.66339,0.006750,0.008727,0.005990,-0.017279,0.007041,0.995783,0.089826
1598871599.69828,0.004485,0.007460,0.005996,-0.015390,0.008069,0.995553,0.092586
1598871599.73190,0.003079,0.006659,0.006654,-0.014766,0.008437,0.995314,0.095193
1598871599.76478,0.002440,0.006266,0.007173,-0.014886,0.008402,0.995084,0.097546
1598871599.79934,0.001983,0.006123,0.007571,-0.015484,0.008446,0.994836,0.099954
1598871599.83186,0.001674,0.006087,0.007896,-0.016115,0.008796,0.994572,0.102416
1598871599.86535,0.001532,0.006057,0.008308,-0.016782,0.009362,0.994272,0.105141
1598871599.89888,0.001637,0.005922,0.008850,-0.017214,0.010114,0.993967,0.107848
1598871599.93225,0.001692,0.005770,0.009296,-0.017300,0.010909,0.993676,0.110410
1598871599.96498,0.001713,0.005506,0.009599,-0.017120,0.011632,0.993401,0.112809
1598871599.99808,0.001632,0.005006,0.009856,-0.016893,0.012086,0.993134,0.115120
1598871600.03182,0.001657,0.004456,0.010204,-0.016666,0.011791,0.992901,0.117181
1598871600.06563,0.001808,0.003778,0.010564,-0.016462,0.011369,0.992673,0.119167
1598871600.09852,0.001898,0.002900,0.010846,-0.015846,0.011148,0.992453,0.121089
1598871600.13195,0.001969,0.002215,0.011031,-0.015133,0.011114,0.992260,0.122753
1598871600.16589,0.002015,0.001484,0.011067,-0.014656,0.011327,0.992087,0.124177
1598871600.23117,0.001901,0.000525,0.010827,-0.014802,0.012065,0.991907,0.125524
1598871600.26425,0.001541,0.000074,0.010358,-0.015353,0.012632,0.991916,0.125331
1598871600.29759,0.001253,-0.000282,0.009867,-0.016245,0.012760,0.992050,0.124138
1598871600.32997,0.001094,-0.000532,0.009595,-0.017024,0.011694,0.992330,0.121882
1598871600.36296,0.001001,-0.000706,0.009522,-0.017221,0.009864,0.992732,0.118699
1598871600.39664,0.000925,-0.001111,0.009728,-0.016336,0.008431,0.993174,0.115185
1598871600.42929,0.000865,-0.001519,0.010083,-0.014890,0.008223,0.993619,0.111502
1598871600.46233,0.000753,-0.001785,0.010489,-0.013342,0.008604,0.994045,0.107808
1598871600.50374,0.000137,-0.003260,0.010747,-0.011997,0.009193,0.994443,0.104190
1598871600.56293,-0.000136,-0.003274,0.011396,-0.011353,0.009258,0.995097,0.097816
1598871600.59633,-0.000268,-0.003006,0.011515,-0.010974,0.009557,0.995470,0.093952
1598871600.62961,-0.000354,-0.002698,0.011449,-0.010985,0.009316,0.995853,0.089826
1598871600.66569,-0.000598,-0.002580,0.011176,-0.011754,0.008768,0.996246,0.085321
1598871600.72957,-0.000394,-0.001588,0.010840,-0.013416,0.006332,0.996925,0.076938
