timestamp,px,py,pz,qx,qy,qz,qw
1403636860.90153,-0.005435,0.000526,-0.003311,0.855213,-0.046747,0.515683,0.022290
1403636860.95344,-0.006410,-0.002014,0.017389,0.854459,-0.043578,0.517211,0.022237
1403636861.00239,-0.004492,-0.002731,0.043493,0.855348,-0.041650,0.515885,0.022519
1403636861.05178,-0.002596,-0.003550,0.071173,0.852484,-0.041169,0.520655,0.022263
1403636861.10177,0.000482,-0.004611,0.100664,0.848060,-0.040937,0.527818,0.022948
1403636861.15171,0.002703,-0.006272,0.131248,0.842521,-0.041111,0.536580,0.023474
1403636861.20132,0.006068,-0.007743,0.163481,0.836317,-0.040147,0.546226,0.024459
1403636861.25127,0.009147,-0.009417,0.194646,0.829562,-0.039306,0.556454,0.025303
1403636861.30068,0.015780,-0.010495,0.228802,0.824806,-0.038300,0.563501,0.026351
1403636861.35101,0.017794,-0.013486,0.258007,0.820743,-0.039128,0.569359,0.026093
1403636861.40140,0.018572,-0.016003,0.280827,0.815467,-0.041409,0.576773,0.025134
1403636861.45166,0.021667,-0.019299,0.296337,0.811096,-0.042326,0.582806,0.025868
1403636861.50154,0.024188,-0.019919,0.299649,0.806982,-0.043733,0.588377,0.026074
1403636861.55148,0.021382,-0.021306,0.298380,0.805974,-0.044749,0.589569,0.028493
1403636861.60145,0.025208,-0.021306,0.290678,0.807753,-0.044653,0.587115,0.028946
1403636861.65143,0.025883,-0.022271,0.273692,0.810570,-0.044865,0.583275,0.027454
1403636861.70144,0.025900,-0.022676,0.251018,0.813918,-0.044500,0.578672,0.026395
1403636861.75173,0.023687,-0.022874,0.226078,0.817788,-0.044102,0.573298,0.024628
1403636861.80191,0.019924,-0.023294,0.200687,0.821583,-0.042786,0.567912,0.025447
1403636861.85182,0.017990,-0.022381,0.171457,0.825519,-0.042323,0.562303,0.023290
1403636861.90159,0.016501,-0.020844,0.141593,0.831299,-0.042067,0.553858,0.020322
1403636861.95151,0.013651,-0.017622,0.112541,0.838239,-0.042617,0.543339,0.017957
1403636862.00163,0.009187,-0.014936,0.084747,0.844348,-0.043756,0.533793,0.015087
1403636862.05163,0.007240,-0.011528,0.056382,0.849597,-0.045585,0.525322,0.011967
1403636862.10151,0.004117,-0.008184,0.030758,0.853263,-0.046767,0.519273,0.010538
1403636862.15120,0.002033,-0.005306,0.008897,0.855339,-0.047511,0.515824,0.007922
1403636862.20097,-0.000656,-0.002327,-0.008712,0.857508,-0.045325,0.512400,0.008474
1403636862.25093,-0.002242,-0.001950,-0.018175,0.859527,-0.042979,0.509175,0.010328
1403636862.30085,-0.004204,-0.001153,-0.021258,0.861818,-0.041132,0.505419,0.011361
1403636862.35082,-0.004389,-0.001289,-0.015100,0.863869,-0.039045,0.502048,0.012376
1403636862.40086,-0.003625,-0.001520,-0.000151,0.865418,-0.037963,0.499454,0.012467
1403636862.50112,0.001828,-0.002730,0.049364,0.864223,-0.034572,0.501594,0.018091
1403636862.55121,0.005532,-0.004280,0.079194,0.861818,-0.034864,0.505482,0.023293
1403636862.60133,0.010132,-0.006035,0.111560,0.858988,-0.033815,0.509830,0.032720
1403636862.65139,0.014478,-0.006871,0.145433,0.855091,-0.034007,0.515856,0.039440
1403636862.70144,0.018230,-0.007310,0.180058,0.850147,-0.034441,0.523596,0.043723
1403636862.75147,0.020311,-0.006803,0.213849,0.844606,-0.038586,0.532312,0.042380
1403636862.80147,0.021916,-0.007106,0.247892,0.840660,-0.041954,0.538287,0.042168
1403636862.85143,0.021763,-0.007230,0.280347,0.836350,-0.047699,0.544649,0.040014
1403636862.90142,0.021583,-0.007396,0.310847,0.833065,-0.051336,0.549431,0.038645
1403636862.95143,0.020640,-0.005973,0.336364,0.829209,-0.054144,0.555085,0.036910
1403636863.00143,0.018671,-0.004924,0.353727,0.825007,-0.053527,0.561400,0.036440
1403636863.05144,0.016183,-0.004150,0.362113,0.820456,-0.050371,0.568076,0.040057
1403636863.10146,0.013487,-0.003053,0.361305,0.816264,-0.046125,0.573905,0.047105
1403636863.15149,0.012182,-0.002798,0.352477,0.813776,-0.042038,0.577218,0.053107
1403636863.20149,0.012201,-0.004370,0.335868,0.813794,-0.040260,0.577049,0.055971
1403636863.25146,0.012626,-0.006415,0.312596,0.814851,-0.040054,0.575588,0.055777
1403636863.30150,0.013432,-0.007345,0.284875,0.816634,-0.038684,0.572841,0.058862
1403636863.35151,0.013337,-0.007592,0.253855,0.817880,-0.038383,0.570858,0.060999
1403636863.40153,0.013213,-0.008563,0.221753,0.819044,-0.039196,0.568735,0.064580
1403636863.45155,0.012248,-0.008948,0.188342,0.820238,-0.040931,0.566795,0.065405
1403636863.50155,0.011120,-0.009844,0.153291,0.823455,-0.045528,0.562166,0.061788
1403636863.55154,0.009046,-0.009263,0.118729,0.827152,-0.047891,0.557304,0.054202
1403636863.60154,0.006643,-0.009265,0.085424,0.832540,-0.051674,0.549711,0.044995
1403636863.65154,0.003800,-0.008999,0.053851,0.837592,-0.055183,0.542292,0.036242
1403636863.70156,0.001351,-0.008754,0.026140,0.842188,-0.058496,0.535247,0.028421
1403636863.75158,-0.000670,-0.008545,0.003608,0.846137,-0.061716,0.528822,0.024310
1403636863.80159,-0.002488,-0.008743,-0.011993,0.850066,-0.062922,0.522440,0.022032
1403636863.85159,-0.004274,-0.009076,-0.018921,0.853375,-0.063109,0.517027,0.021257
1403636863.90159,-0.005666,-0.009723,-0.016783,0.855863,-0.062549,0.513022,0.019848
1403636863.95159,-0.006279,-0.010777,-0.005102,0.857219,-0.061687,0.510952,0.017266
1403636864.00161,-0.006178,-0.012100,0.015251,0.857146,-0.060579,0.511261,0.015584
1403636864.05163,-0.005923,-0.012913,0.042243,0.855761,-0.058801,0.513813,0.014537
