timestamp,px,py,pz,qx,qy,qz,qw
1403637135.37143,0.002746,-0.003871,0.068613,0.843611,-0.062261,0.532925,0.020865
1403637135.42143,0.006983,-0.005245,0.093821,0.840508,-0.061647,0.537775,0.023313
1403637135.48579,0.011225,-0.007696,0.116888,0.833220,-0.059721,0.548948,0.028869
1403637135.53656,0.022149,-0.010365,0.169729,0.823556,-0.057878,0.563230,0.034323
1403637135.58656,0.032551,-0.012819,0.213194,0.817076,-0.057047,0.572302,0.040035
1403637135.63694,0.041248,-0.016370,0.251947,0.809273,-0.058275,0.582826,0.044664
1403637135.68578,0.050672,-0.016604,0.298279,0.804426,-0.059198,0.589147,0.047958
1403637135.73552,0.058436,-0.018071,0.333473,0.798070,-0.061047,0.597568,0.047644
1403637135.78575,0.071637,-0.020133,0.361742,0.793218,-0.063746,0.603939,0.044713
1403637135.83598,0.079696,-0.023746,0.380071,0.789364,-0.065715,0.608899,0.042758
1403637135.88598,0.092961,-0.027907,0.390997,0.787279,-0.067811,0.611509,0.040615
1403637135.93756,0.100073,-0.028066,0.376974,0.787559,-0.070384,0.610962,0.039022
1403637135.98697,0.119416,-0.033972,0.362952,0.788001,-0.070667,0.610407,0.038254
1403637136.03645,0.112225,-0.024640,0.337922,0.790036,-0.068891,0.607920,0.039125
1403637136.08715,0.105490,-0.016358,0.312275,0.792370,-0.064600,0.605043,0.043581
1403637136.13715,0.118756,-0.018620,0.273868,0.795995,-0.064899,0.600231,0.043622
1403637136.18715,0.132177,-0.021127,0.230521,0.800968,-0.063420,0.593536,0.046286
1403637136.23714,0.136676,-0.013440,0.188850,0.806764,-0.063719,0.585548,0.046954
1403637136.28714,0.148107,-0.014734,0.142586,0.814072,-0.063355,0.575428,0.046426
1403637136.33722,0.137163,-0.013324,0.103778,0.821482,-0.064630,0.564669,0.046239
1403637136.38722,0.144969,-0.014655,0.061768,0.828634,-0.065918,0.554242,0.042851
1403637136.43722,0.151986,-0.016015,0.023296,0.835340,-0.066623,0.544267,0.039275
1403637136.48735,0.163041,-0.010138,-0.007594,0.841109,-0.068226,0.535462,0.034093
1403637136.53893,0.158563,-0.003755,-0.007553,0.845386,-0.068623,0.528711,0.032828
1403637136.59083,0.157074,-0.000303,0.013532,0.847412,-0.066993,0.525568,0.034390
1403637136.64085,0.141334,0.000666,0.017915,0.847981,-0.065029,0.524776,0.036176
1403637136.69038,0.119295,0.002589,0.022083,0.847642,-0.062493,0.525420,0.039120
1403637136.74011,0.103749,0.006756,0.035112,0.847013,-0.062278,0.526429,0.039537
1403637136.78998,0.075476,-0.000426,0.062423,0.842894,-0.060931,0.533084,0.040467
1403637136.83965,0.069706,0.002883,0.103639,0.837357,-0.058706,0.541840,0.042387
1403637136.88952,0.052309,0.001207,0.153205,0.833289,-0.059181,0.548005,0.042629
1403637136.93922,0.047012,-0.001925,0.203825,0.826480,-0.062272,0.557948,0.041798
1403637136.98910,0.046303,-0.004063,0.254211,0.818993,-0.064625,0.568202,0.047115
1403637137.03911,0.044728,-0.004672,0.300527,0.810819,-0.068670,0.579053,0.050552
1403637137.08904,0.044098,-0.005346,0.342203,0.802654,-0.072434,0.589614,0.053444
1403637137.13901,0.042831,-0.004728,0.376295,0.794597,-0.077319,0.600063,0.050616
1403637137.18888,0.041914,-0.005111,0.401354,0.787969,-0.080712,0.608664,0.046022
1403637137.23881,0.042450,-0.005646,0.414918,0.783490,-0.079680,0.614640,0.044851
1403637137.28869,0.044234,-0.007204,0.418320,0.780599,-0.078860,0.618372,0.045421
1403637137.33862,0.046568,-0.009384,0.411094,0.778535,-0.077923,0.621007,0.046485
1403637137.38859,0.049596,-0.011152,0.393500,0.777697,-0.076133,0.622249,0.046865
1403637137.43843,0.056554,-0.009078,0.369012,0.779784,-0.074701,0.619885,0.045812
1403637137.48839,0.060900,-0.008870,0.336595,0.783426,-0.071822,0.615461,0.047897
1403637137.53851,0.062966,-0.008659,0.295127,0.788081,-0.067889,0.609706,0.050775
1403637137.58844,0.065115,-0.008497,0.252470,0.795312,-0.063708,0.600149,0.056936
1403637137.63843,0.065690,-0.008157,0.208056,0.804274,-0.060825,0.587713,0.063537
1403637137.68843,0.066650,-0.008216,0.163181,0.812902,-0.061204,0.575398,0.066045
1403637137.73843,0.066780,-0.007446,0.120523,0.820810,-0.061568,0.564218,0.064325
1403637137.78836,0.064887,-0.005832,0.082019,0.826922,-0.061958,0.555625,0.060357
1403637137.83840,0.061832,-0.003876,0.048319,0.832306,-0.061629,0.547973,0.056525
1403637137.88844,0.057194,-0.002348,0.021144,0.837947,-0.061140,0.539876,0.051381
1403637137.93837,0.053208,-0.001643,0.003351,0.842532,-0.061329,0.532991,0.047948
1403637137.98838,0.049738,-0.001573,-0.003749,0.847401,-0.060030,0.525376,0.047832
1403637138.03843,0.048754,-0.002226,0.001130,0.852335,-0.060846,0.517427,0.045741
1403637138.08856,0.048938,-0.002989,0.019374,0.855321,-0.060169,0.512545,0.045874
1403637138.13854,0.048894,-0.004435,0.049698,0.855203,-0.058728,0.513170,0.042833
1403637138.18845,0.049654,-0.007167,0.087927,0.852717,-0.053872,0.517780,0.043307
1403637138.23832,0.053292,-0.012322,0.131862,0.848374,-0.050542,0.524839,0.047449
1403637138.28815,0.053070,-0.013111,0.184075,0.837694,-0.046424,0.541170,0.056996
1403637138.33814,0.051343,-0.012385,0.235341,0.826860,-0.044758,0.556930,0.064255
1403637138.38812,0.052875,-0.010247,0.282873,0.815519,-0.047799,0.572723,0.068063
1403637138.43814,0.054073,-0.007857,0.325916,0.805473,-0.049660,0.585922,0.073777
1403637138.48815,0.054414,-0.005733,0.361577,0.797003,-0.053063,0.596600,0.077709
1403637138.53817,0.054019,-0.004409,0.387409,0.790169,-0.056544,0.605125,0.079115
1403637138.58818,0.053695,-0.004062,0.402714,0.785311,-0.058461,0.611125,0.079969
1403637138.63819,0.053926,-0.004623,0.406925,0.782594,-0.059868,0.614701,0.078135
1403637138.68820,0.055068,-0.005998,0.400057,0.782264,-0.060953,0.615287,0.075963
1403637138.73821,0.057382,-0.007685,0.382666,0.783560,-0.063017,0.613924,0.071827
1403637138.78821,0.061244,-0.009147,0.356893,0.786514,-0.064476,0.610170,0.070222
1403637138.83819,0.066178,-0.011594,0.322782,0.790662,-0.066974,0.604599,0.069485
1403637138.88820,0.070551,-0.014014,0.283065,0.795884,-0.068111,0.597660,0.068796
1403637138.93823,0.073482,-0.016108,0.239136,0.801088,-0.067706,0.590975,0.066507
1403637138.98823,0.076306,-0.017307,0.194106,0.805243,-0.068398,0.586074,0.058504
1403637139.03827,0.074959,-0.020327,0.148388,0.809862,-0.069458,0.580460,0.048634
1403637139.08827,0.076126,-0.019971,0.106303,0.812802,-0.070325,0.576866,0.040404
1403637139.13826,0.076753,-0.019123,0.067814,0.815440,-0.070437,0.573494,0.034655
