timestamp,px,py,pz,qx,qy,qz,qw
1403638130.63487,0.004281,0.012835,0.081542,-0.818489,-0.004572,-0.572864,0.043378
1403638130.69363,0.003810,0.018707,0.102149,-0.815700,-0.001677,-0.576705,0.045189
1403638130.74363,0.001174,0.020282,0.121071,-0.810489,0.007220,-0.583116,0.055050
1403638130.79196,0.011686,0.029065,0.160685,-0.808244,0.013005,-0.585275,0.063452
1403638130.84196,0.011265,0.031804,0.175425,-0.807425,0.013789,-0.585999,0.066930
1403638130.89196,0.009888,0.034262,0.187216,-0.806356,0.013927,-0.587137,0.069758
1403638130.94196,0.007815,0.035590,0.195589,-0.802715,0.016357,-0.592056,0.069647
1403638130.99120,0.033643,0.043246,0.215251,-0.797269,0.020620,-0.599387,0.068361
1403638131.04120,0.037821,0.046028,0.216472,-0.792007,0.024287,-0.606210,0.068149
1403638131.09120,0.043046,0.049286,0.212791,-0.790100,0.024824,-0.608941,0.065695
1403638131.14120,0.049040,0.053834,0.204554,-0.792484,0.021994,-0.606260,0.062725
1403638131.19120,0.055701,0.059206,0.193070,-0.797886,0.015582,-0.599887,0.057191
1403638131.24120,0.062739,0.064809,0.179707,-0.804356,0.007640,-0.592002,0.049871
1403638131.29120,0.069933,0.070449,0.165266,-0.809234,0.001686,-0.585723,0.045446
1403638131.34120,0.077089,0.075638,0.150422,-0.811654,-0.001041,-0.582525,0.043380
1403638131.39120,0.083939,0.080284,0.134966,-0.811860,-0.000021,-0.582299,0.042565
1403638131.44120,0.090635,0.085200,0.118747,-0.811212,0.001139,-0.583231,0.042136
1403638131.49120,0.097216,0.089732,0.101739,-0.811386,-0.001011,-0.583354,0.036738
1403638131.54120,0.103975,0.095185,0.083002,-0.812945,-0.001850,-0.581296,0.034815
1403638131.59120,0.111012,0.100759,0.063212,-0.814890,-0.002715,-0.578629,0.033701
1403638131.64331,0.029129,0.033654,-0.032452,-0.819167,-0.006066,-0.572725,0.030254
1403638131.69327,0.030508,0.033361,-0.062431,-0.819420,-0.008026,-0.572475,0.027540
1403638131.74323,0.028191,0.031983,-0.091179,-0.819470,-0.009481,-0.572480,0.025416
1403638131.79329,0.024481,0.029067,-0.117504,-0.819608,-0.012449,-0.572427,0.020346
1403638131.84337,0.015673,0.026119,-0.143861,-0.820323,-0.014835,-0.571514,0.014909
1403638131.89361,0.001460,0.019726,-0.174795,-0.820258,-0.013546,-0.571691,0.012780
1403638131.94399,0.011317,0.008256,-0.204492,-0.821628,-0.015054,-0.569719,0.010968
1403638131.99386,0.012913,0.012005,-0.229481,-0.822848,-0.019246,-0.567901,0.006271
1403638132.04372,0.009145,0.010042,-0.251390,-0.825223,-0.027199,-0.564149,0.001498
1403638132.09369,0.009400,0.008214,-0.259877,0.828527,0.035985,0.558772,0.004709
1403638132.14417,0.010412,0.006910,-0.260578,0.829823,0.043224,0.556269,0.009534
1403638132.19502,0.012438,0.006463,-0.248936,0.828535,0.046315,0.557898,0.011587
1403638132.24516,0.027654,0.031062,-0.160766,0.826011,0.046852,0.561550,0.013124
1403638132.29510,0.022138,0.021371,-0.129377,0.821049,0.043830,0.569138,0.006228
