timestamp,tracking_ms,estimator_ms,total_ms,observations
1598870181.880224466,3.505982,0.114711,3.640403,0
1598870181.917529106,2.454719,0.014560,2.473649,254
1598870181.940813303,1.386286,0.007490,1.394896,254
1598870181.974414825,1.443008,0.006180,1.449838,254
1598870182.008227587,1.308316,0.004490,1.313166,254
1598870182.041640520,1.434787,0.004200,1.439527,254
1598870182.075725794,1.427157,0.004380,1.432117,254
1598870182.108786345,1.231964,0.005760,1.238284,256
1598870182.141568184,0.949631,0.007820,0.959231,256
1598870182.175574541,0.939802,0.004950,0.945142,256
1598870182.215332508,1.065872,0.004980,1.071572,256
1598870182.246270657,1.079253,0.005140,1.085233,256
1598870182.276529312,0.897961,0.004040,0.902311,256
1598870182.309342623,1.073522,0.007381,1.081973,256
1598870182.343000889,1.064193,0.005280,1.070413,256
1598870182.375574589,1.101833,0.005010,1.107364,256
1598870182.408781767,1.095183,0.004520,1.100343,256
1598870182.441195965,1.045382,0.008740,1.055302,256
1598870182.475506067,1.128354,0.005670,1.134884,256
1598870182.508774042,1.067383,0.005360,1.073323,256
1598870182.542677641,0.909771,0.004750,0.914811,256
1598870182.574922800,1.118193,0.007770,1.127393,256
1598870182.610951424,1.097663,0.005890,1.104153,258
1598870182.675121307,0.949522,0.005070,0.955382,260
1598870182.710199594,1.022152,0.007700,1.030552,260
1598870182.742533922,1.129443,0.007171,1.137234,260
1598870182.775039673,0.910241,0.004420,0.915101,260
1598870182.808820724,1.035512,0.004610,1.041422,260
1598870182.842591763,1.092983,0.006880,1.101953,260
1598870182.876286983,0.925341,0.002850,0.928601,260
1598870182.915309906,1.147773,0.004860,1.153453,260
1598870182.943991423,0.946251,0.004350,0.951741,260
1598870182.975965977,0.972532,0.003850,0.976942,260
1598870183.010370255,1.041622,0.003910,1.046452,260
1598870183.042045832,0.900971,0.003250,0.904541,260
1598870183.075617790,1.009792,0.003440,1.013912,260
1598870183.110783815,1.173484,0.003620,1.177864,260
1598870183.143340826,0.951961,0.003980,0.956681,262
1598870183.176972628,1.023912,0.003530,1.028342,262
1598870183.211669207,0.921911,0.003100,0.925301,262
1598870183.243534803,1.115843,0.005400,1.122473,262
1598870183.277349472,1.141723,0.004230,1.146883,262
1598870183.310212612,1.040223,0.006740,1.047613,262
1598870183.342927456,0.923671,0.003240,0.927181,262
1598870183.376801968,0.977852,0.008680,0.988892,262
1598870183.410885334,0.935671,0.005670,0.941861,262
1598870183.444266081,1.253355,0.006180,1.260505,262
1598870183.478903770,1.285166,0.004710,1.290666,262
1598870183.511851072,1.322286,0.006830,1.330326,262
1598870183.543994665,1.252535,0.005020,1.258455,262
1598870183.577246666,0.998242,0.006870,1.006182,262
1598870183.610219240,1.040512,0.005420,1.047222,262
1598870183.643236876,1.041542,0.004940,1.047572,262
1598870183.676012516,1.040213,0.003590,1.044343,262
1598870183.710721493,0.950511,0.003040,0.953871,262
1598870183.743533373,1.062793,0.003430,1.066793,262
1598870183.777814388,1.121174,0.005320,1.127514,262
1598870183.811316252,1.091703,0.005110,1.098293,262
1598870183.843646526,1.313196,0.008620,1.322916,262
1598870183.876626968,1.297145,0.011500,1.309405,262
1598870183.910410643,1.164413,0.004700,1.169573,262
1598870183.943622351,1.441157,0.009170,1.451617,262
1598870183.976300955,1.207135,0.005760,1.213565,264
1598870184.008874655,1.239415,0.004570,1.244955,264
1598870184.043982506,1.089933,0.004180,1.094853,264
1598870184.077158213,0.977522,0.003860,0.981832,264
1598870184.110844374,1.232844,0.009181,1.243755,264
1598870184.144588947,1.137034,0.004650,1.142944,264
1598870184.176785707,1.021882,0.004160,1.026372,264
1598870184.210665464,1.081172,0.004410,1.086452,264
1598870184.241655588,1.182244,0.004110,1.186974,264
1598870184.275572062,1.153313,0.004240,1.158353,264
1598870184.310132980,0.926641,0.003720,0.930801,264
1598870184.342757225,1.073663,0.004110,1.078443,264
1598870184.375967503,1.058153,0.003650,1.062313,264
1598870184.411029100,1.038582,0.003540,1.042622,264
1598870184.441317320,1.053742,0.011820,1.066472,264
1598870184.474771023,0.934931,0.004530,0.940031,264
1598870184.508375645,1.003082,0.004550,1.008702,264
1598870184.540892839,1.295016,0.006120,1.301966,264
1598870184.573622942,1.184764,0.004230,1.190144,264
1598870184.608060837,1.218645,0.005620,1.225065,264
1598870184.641946316,1.172294,0.004070,1.176784,264
1598870184.675080061,1.210015,0.009130,1.220225,264
1598870184.708554745,1.148214,0.008900,1.158734,264
1598870184.749225140,1.112613,0.007950,1.121803,264
1598870184.774228811,0.952461,0.004470,0.957291,264
1598870184.807290077,1.168464,0.008700,1.178434,264
1598870184.840718746,1.089113,0.005660,1.095393,264
1598870184.874502897,0.985452,0.004310,0.990302,264
1598870184.907545090,1.110183,0.004130,1.114873,264
1598870184.941160440,1.067112,0.003720,1.071342,264
1598870184.974128962,1.232064,0.003750,1.236354,264
1598870185.005882025,1.047473,0.003760,1.051763,264
1598870185.039954185,1.098713,0.004400,1.103963,264
1598870185.073336363,1.088453,0.004000,1.093083,264
1598870185.105789661,1.110823,0.003890,1.115383,264
1598870185.140304327,1.219835,0.004690,1.225115,264
1598870185.172801733,0.936091,0.003440,0.939831,264
1598870185.206515789,1.156004,0.003910,1.160604,264
1598870185.240520954,1.152184,0.004010,1.156744,264
1598870185.273709774,1.102313,0.004090,1.107143,264
1598870185.306363821,1.448657,0.005180,1.454697,264
1598870185.340191364,1.276305,0.004730,1.281845,264
1598870185.372522354,0.998171,0.003570,1.002181,264
1598870185.405909538,1.202004,0.004400,1.206964,264
1598870185.439436436,1.185164,0.005010,1.191234,264
1598870185.470918417,0.949892,0.003900,0.954512,264
1598870185.505503893,1.218195,0.005220,1.224355,264
1598870185.539031982,1.227074,0.006700,1.235134,264
1598870185.572155476,1.067682,0.004830,1.072942,266
1598870185.605763912,1.288265,0.005770,1.294895,261
1598870185.641602755,1.268685,0.006760,1.276155,258
1598870185.674978971,1.076743,0.008620,1.085953,257
1598870185.704860926,1.008342,0.005250,1.013952,257
1598870185.737051010,1.109024,0.006170,1.116034,257
1598870185.770891190,1.135153,0.004541,1.140254,257
1598870185.806250334,1.018952,0.003550,1.022842,256
1598870185.837104082,1.237035,0.005190,1.242765,253
1598870185.870442629,1.314136,0.007590,1.323446,248
1598870185.904914618,1.019352,0.003810,1.023562,248
1598870185.937390566,1.241895,0.004670,1.247375,248
1598870185.970233202,0.975721,0.004400,0.980911,248
1598870186.004555464,1.167874,0.006660,1.175904,248
1598870186.042122364,1.242125,0.004930,1.247985,248
1598870186.071408749,1.058123,0.004710,1.063513,248
1598870186.106055975,1.128714,0.003900,1.133124,248
1598870186.136676073,1.324005,0.007270,1.332155,260
1598870186.169927835,1.182984,0.009150,1.193154,272
1598870186.203211308,1.169704,0.006230,1.176604,272
1598870186.236934185,1.139734,0.005120,1.145754,272
1598870186.268953562,1.214505,0.008140,1.223685,272
1598870186.302101135,1.187634,0.007350,1.196124,272
1598870186.335229635,1.152344,0.006770,1.159884,272
1598870186.368878365,1.022592,0.005280,1.028482,272
1598870186.402614594,1.279805,0.004780,1.285235,272
1598870186.434520245,1.065203,0.004260,1.069813,272
1598870186.468364477,1.160163,0.005651,1.166724,272
1598870186.501729250,1.182224,0.004880,1.187744,272
1598870186.535058022,1.389787,0.004340,1.394757,272
1598870186.568928480,1.140233,0.009570,1.151223,272
