timestamp,tracking_ms,estimator_ms,total_ms,observations
1403636579.763555527,4.668449,0.009780,4.693269,0
1403636579.813555479,3.828168,0.033381,3.864179,361
1403636579.863555431,2.293729,0.020920,2.315969,329
1403636579.913555384,2.377120,0.341645,2.719255,316
1403636579.963555574,2.244349,0.197122,2.442121,317
1403636580.013555527,1.945655,1.815653,3.761858,325
1403636580.063555479,2.279130,0.141681,2.421341,311
1403636580.113555431,1.882104,0.142921,2.025635,336
1403636580.163555384,2.122257,0.156522,2.279369,322
1403636580.213555574,1.484159,0.191243,1.676042,331
1403636580.263555527,1.763353,0.410455,2.174258,302
1403636580.313555479,1.715242,0.456395,2.172237,305
1403636580.363555431,1.628591,0.588307,2.217478,288
1403636580.413555384,1.510379,0.304114,1.815123,274
1403636580.463555574,1.515170,0.963352,2.479342,251
1403636580.513555527,1.672121,6.184009,7.856910,249
1403636580.563555479,1.770683,2.209938,3.982091,280
1403636580.613555431,2.082276,0.140982,2.223938,262
1403636580.663555384,2.000926,0.672198,2.673614,243
1403636580.713555574,1.825973,0.158462,1.984935,253
1403636580.763555527,1.598221,1.178705,2.777506,254
1403636580.813555479,1.734052,0.364715,2.099327,268
1403636580.863555431,1.772413,0.474796,2.247739,287
1403636580.913555384,2.354410,0.465486,2.820416,307
1403636580.963555574,2.150027,0.448046,2.598883,306
1403636581.013555527,2.177798,0.249063,2.427611,314
1403636581.063555479,2.167467,0.666929,2.834926,326
1403636581.113555431,1.820053,9.502561,11.323234,352
1403636581.163555384,2.276179,5.808934,8.087724,333
1403636581.213555574,2.446811,1.601721,4.049882,349
1403636581.263555527,2.211109,3.244251,5.457150,362
1403636581.313555479,2.010175,1.282486,3.293431,359
1403636581.363555431,1.924605,3.563015,5.488440,359
1403636581.413555384,1.952275,1.747522,3.700447,358
1403636581.463555574,1.944415,2.889797,4.834912,358
1403636581.513555527,2.029206,2.274379,4.304315,351
1403636581.563555479,1.959775,2.530442,4.490837,350
1403636581.613555431,2.007245,3.277962,5.285747,348
1403636581.663555384,1.953705,2.657484,4.611829,345
1403636581.713555574,2.388810,2.697535,5.086975,329
1403636581.763555527,2.275849,2.820186,5.096665,353
1403636581.813555479,2.212068,3.785019,5.997697,339
1403636581.863555431,2.509402,1.922815,4.434397,333
1403636581.913555384,2.268379,1.474509,3.743588,347
1403636581.963555574,2.250539,3.345113,5.596202,324
1403636582.013555527,1.792993,2.456531,4.250344,350
1403636582.063555479,2.326540,3.397813,5.725223,316
1403636582.113555431,1.875504,2.170078,4.046362,352
1403636582.163555384,1.911955,2.391780,4.304325,343
1403636582.213555574,2.114537,3.807828,5.923105,349
1403636582.263555527,1.722272,1.420578,3.145230,399
1403636582.313555479,1.748342,3.200311,4.949383,382
1403636582.363555431,2.231839,2.665544,4.898173,362
1403636582.413555384,2.097017,2.234278,4.331965,367
1403636582.463555574,2.097436,3.517115,5.615521,368
1403636582.513555527,2.318610,1.589030,3.908190,386
1403636582.563555479,2.354429,3.722898,6.077937,382
1403636582.613555431,1.919815,2.194748,4.115283,391
1403636582.663555384,2.449542,3.669926,6.120308,364
1403636582.713555574,1.972445,1.660771,3.634016,392
1403636582.763555527,2.482062,2.788296,5.270948,361
1403636582.813555479,1.802263,3.010118,4.813041,393
1403636582.863555431,1.915984,1.874394,3.791048,371
1403636582.913555384,1.724072,3.108560,4.833262,386
1403636582.963555574,1.996276,3.169750,5.166716,367
1403636583.013555527,1.865963,3.093340,4.960373,434
1403636583.063555479,1.772442,3.154610,4.928162,428
1403636583.113555431,1.543020,1.816093,3.359883,426
1403636583.163555384,1.538349,3.081599,4.620538,426
1403636583.213555574,1.420548,1.685932,3.107100,425
1403636583.263555527,1.585061,3.530475,5.116036,419
1403636583.313555479,1.565470,1.877214,3.443484,418
1403636583.363555431,1.891894,4.081332,5.973716,408
1403636583.413555384,1.782292,2.311780,4.094812,430
1403636583.463555574,1.698362,3.418543,5.117445,417
1403636583.513555527,1.862963,2.691555,4.556258,406
1403636583.563555479,1.579980,4.298465,5.879325,396
1403636583.613555431,2.242819,2.300239,4.543678,379
1403636583.663555384,1.738363,2.933367,4.672760,395
1403636583.713555574,2.284220,1.868843,4.153563,365
1403636583.763555527,2.591073,3.129290,5.721203,409
1403636583.813555479,2.463002,1.979315,4.443057,406
1403636583.863555431,2.650264,2.936237,5.587091,396
1403636583.913555384,2.724745,2.406861,5.132246,397
1403636583.963555574,2.202918,3.301732,5.505380,389
1403636584.013555527,1.670952,2.650534,4.322086,425
1403636584.063555479,1.478688,2.228849,3.708157,421
1403636584.113555431,1.473748,2.414021,3.888269,421
1403636584.163555384,1.681492,2.595133,4.277565,418
1403636584.213555574,1.613211,2.410401,4.024172,412
1403636584.263555527,1.543830,1.725492,3.269802,402
1403636584.313555479,1.861664,3.333372,5.195526,394
1403636584.363555431,1.920355,3.142240,5.063215,400
1403636584.413555384,1.684382,2.793225,4.478127,410
1403636584.463555574,1.562440,2.663354,4.226364,395
1403636584.513555527,2.011885,2.681075,4.693540,364
1403636584.563555479,1.843684,3.973850,5.818074,404
1403636584.613555431,2.011525,1.995286,4.007431,369
1403636584.663555384,2.110127,2.162718,4.273325,393
1403636584.713555574,1.873504,2.566563,4.440697,393
1403636584.763555527,2.039586,3.293362,5.333518,380
1403636584.813555479,1.580290,2.309780,3.890880,432
1403636584.863555431,1.776482,2.566173,4.343235,418
1403636584.913555384,1.335008,1.696531,3.032029,409
1403636584.963555574,1.489859,2.770236,4.260635,407
1403636585.013555527,1.341817,1.525450,2.867797,407
1403636585.063555479,1.272057,2.019845,3.292392,407
1403636585.113555431,1.395348,2.982698,4.378656,407
1403636585.163555384,1.325917,3.019168,4.345745,404
1403636585.213555574,1.555820,2.947528,4.504028,404
1403636585.263555527,1.396288,1.812623,3.209451,404
1403636585.313555479,1.587740,2.853186,4.441706,400
1403636585.363555431,1.644331,3.042579,4.687420,391
1403636585.413555384,1.553269,2.095087,3.648876,435
1403636585.463555574,1.520430,2.303499,3.824439,421
1403636585.513555527,1.584730,2.185738,3.770968,405
1403636585.563555479,1.898084,2.575293,4.473907,394
1403636585.613555431,1.611280,1.713512,3.325392,422
1403636585.663555384,1.537040,1.693591,3.231151,405
1403636585.713555574,1.793113,2.979878,4.773491,387
1403636585.763555527,1.484780,3.002718,4.488318,421
1403636585.813555479,1.574150,2.964698,4.539358,415
1403636585.863555431,1.839723,2.268029,4.108302,399
1403636585.913555384,1.636031,2.957557,4.594198,419
1403636585.963555574,1.524939,2.923448,4.448947,397
1403636586.013555527,1.597150,1.235206,2.832946,377
1403636586.063555479,1.981355,1.222685,3.204580,350
1403636586.113555431,1.351307,0.689899,2.041766,381
1403636586.163555384,1.637561,3.998091,5.636122,356
1403636586.213555574,1.481429,0.952492,2.434561,393
1403636586.263555527,1.312247,0.639678,1.952445,376
1403636586.313555479,1.340917,5.114796,6.456213,366
1403636586.363555431,1.610351,2.193408,3.804339,341
1403636586.413555384,1.431998,4.165563,5.598101,337
1403636586.463555574,1.639131,4.429506,6.069157,332
1403636586.513555527,1.419188,2.034406,3.454784,363
1403636586.563555479,1.292106,2.729525,4.022261,357
1403636586.613555431,1.435538,1.324897,2.761185,354
1403636586.663555384,1.391148,3.598996,4.990664,353
1403636586.713555574,1.354938,1.270076,2.625654,353
1403636586.763555527,1.326537,4.221054,5.548081,353
1403636586.813555479,1.286707,1.299676,2.587723,353
1403636586.863555431,1.219826,1.325867,2.546183,353
1403636586.913555384,1.407308,2.536552,3.944390,353
1403636586.963555574,1.578290,1.343567,2.922497,353
1403636587.013555527,1.442909,1.396258,2.839727,353
1403636587.063555479,1.414358,4.811692,6.226610,353
1403636587.113555431,1.718182,1.418618,3.137620,352
1403636587.163555384,1.426938,2.592643,4.020051,352
1403636587.213555574,1.506680,1.495399,3.002599,352
1403636587.263555527,1.557469,3.505865,5.063814,351
1403636587.313555479,1.410148,1.425488,2.836156,350
1403636587.363555431,1.384878,3.863219,5.248557,349
1403636587.413555384,1.540510,1.464049,3.005469,345
1403636587.463555574,1.512699,1.371707,2.884856,343
1403636587.513555527,1.352467,2.818386,4.171213,339
1403636587.563555479,1.582560,1.619751,3.203001,333
1403636587.613555431,1.451418,1.551850,3.003988,356
1403636587.663555384,1.505189,4.477528,5.983217,332
1403636587.713555574,1.678901,1.857404,3.536935,322
1403636587.763555527,1.231836,2.605913,3.838379,349
1403636587.813555479,1.417727,1.361528,2.779795,340
1403636587.863555431,1.385948,3.083219,4.469657,334
1403636587.913555384,1.617591,1.111294,2.729455,320
1403636587.963555574,1.298447,5.183576,6.482503,356
1403636588.013555527,1.685221,1.360227,3.046178,340
1403636588.063555479,1.274616,1.208345,2.483501,361
1403636588.113555431,1.195595,3.197641,4.393716,354
1403636588.163555384,1.564409,2.982938,4.547887,348
1403636588.213555574,1.236645,1.613691,2.850936,345
1403636588.263555527,1.346867,3.596146,4.943483,342
1403636588.313555479,1.440108,2.694244,4.134902,342
1403636588.363555431,1.320626,2.471352,3.792578,342
1403636588.413555384,1.265075,1.435009,2.700614,342
1403636588.463555574,1.181765,2.692494,3.874769,342
1403636588.513555527,1.106514,3.389444,4.496558,342
1403636588.563555479,1.492970,2.702924,4.196434,342
1403636588.613555431,1.301427,2.567272,3.869289,342
1403636588.663555384,1.352977,1.376558,2.730035,342
1403636588.713555574,1.414488,2.273629,3.688547,341
1403636588.763555527,1.385838,2.625853,4.012361,340
1403636588.813555479,1.428118,1.413778,2.842446,333
1403636588.863555431,1.484979,3.764448,5.249897,328
1403636588.913555384,1.676321,2.575343,4.252424,352
1403636588.963555574,1.407808,2.424991,3.833389,347
1403636589.013555527,1.687461,1.424788,3.112779,334
1403636589.063555479,1.376417,2.732185,4.109242,350
1403636589.113555431,1.603030,3.662737,5.266387,344
1403636589.163555384,1.320097,2.683334,4.004321,341
1403636589.213555574,1.998605,2.722375,4.721500,324
1403636589.263555527,1.465638,1.244726,2.710964,358
1403636589.313555479,1.270586,2.734355,4.005371,351
1403636589.363555431,1.613611,2.701894,4.316135,340
1403636589.413555384,1.332907,1.968925,3.302382,330
1403636589.463555574,1.480069,4.139243,5.619842,327
1403636589.513555527,1.863644,2.215698,4.079982,307
1403636589.563555479,1.489089,2.516332,4.006101,331
1403636589.613555431,1.357587,2.445041,3.803258,327
1403636589.663555384,1.345197,2.521792,3.867579,319
1403636589.713555574,1.327796,1.626801,2.955197,317
1403636589.763555527,1.420269,3.154370,4.575149,310
1403636589.813555479,1.710871,3.370103,5.081574,323
1403636589.863555431,1.421778,1.290446,2.712844,340
1403636589.913555384,1.311067,2.053436,3.365283,327
1403636589.963555574,1.871874,2.941497,4.813891,310
1403636590.013555527,1.501499,1.387367,2.889866,360
1403636590.063555479,1.222196,3.277272,4.500018,357
1403636590.113555431,1.344727,3.308372,4.653749,356
1403636590.163555384,1.551249,2.329580,3.881399,355
1403636590.213555574,1.479378,2.161728,3.641646,353
1403636590.263555527,1.446728,2.786006,4.233404,353
1403636590.313555479,1.340267,1.258186,2.599123,353
1403636590.363555431,1.195515,3.611316,4.807361,350
1403636590.413555384,1.470689,3.192490,4.663729,350
1403636590.463555574,1.419388,1.460529,2.880487,350
1403636590.513555527,1.313927,1.984325,3.298922,349
1403636590.563555479,1.371317,3.715848,5.087765,349
1403636590.613555431,1.460049,2.103187,3.565316,349
1403636590.663555384,1.403818,3.004788,4.409796,347
1403636590.713555574,1.413908,3.325223,4.739661,344
1403636590.763555527,1.454008,2.333360,3.788408,342
1403636590.813555479,1.731092,2.432521,4.164133,334
1403636590.863555431,1.632001,2.568783,4.201334,371
1403636590.913555384,1.723962,1.557430,3.282362,367
1403636590.963555574,1.883914,2.809656,4.694680,354
1403636591.013555527,1.652371,3.242441,4.895422,348
1403636591.063555479,2.016966,1.451779,3.469445,341
1403636591.113555431,1.686141,2.206418,3.893069,383
1403636591.163555384,1.649391,3.068589,4.718570,376
1403636591.213555574,1.638181,2.151827,3.790628,369
1403636591.263555527,1.526119,2.810796,4.337565,363
1403636591.313555479,1.531950,2.970027,4.502647,358
1403636591.363555431,1.850114,2.622573,4.473257,347
1403636591.413555384,1.438549,3.660687,5.099856,368
1403636591.463555574,1.488169,2.369330,3.858149,364
1403636591.513555527,1.533199,1.518510,3.052239,358
1403636591.563555479,2.025936,2.144948,4.171494,348
1403636591.613555431,1.631251,3.083420,4.715361,378
1403636591.663555384,1.738182,3.249591,4.988443,371
1403636591.713555574,1.920794,1.600981,3.522545,366
1403636591.763555527,1.281296,2.700115,3.981901,401
1403636591.813555479,1.400888,2.010766,3.412204,392
1403636591.863555431,1.452148,2.750305,4.202983,384
1403636591.913555384,1.396998,1.503409,2.901067,379
1403636591.963555574,1.470938,4.148203,5.619821,372
1403636592.013555527,1.521650,2.898207,4.420667,412
1403636592.063555479,1.588290,2.587913,4.176803,400
1403636592.113555431,1.471919,1.595251,3.068220,389
1403636592.163555384,1.507749,2.516442,4.024871,380
1403636592.213555574,1.766902,2.060567,3.828009,374
1403636592.263555527,1.653861,2.990148,4.644589,409
1403636592.313555479,1.633300,2.708075,4.342825,402
1403636592.363555431,1.909025,3.538015,5.447730,388
1403636592.413555384,1.540729,2.160118,3.701757,402
1403636592.463555574,1.709812,2.951157,4.663529,385
1403636592.513555527,1.607981,1.558119,3.167220,370
1403636592.563555479,1.726342,4.570638,6.297700,353
1403636592.613555431,1.662371,2.995408,4.658629,346
1403636592.663555384,1.832693,2.106837,3.941480,320
1403636592.713555574,1.715322,1.322917,3.038819,332
1403636592.763555527,1.714352,2.223609,3.938501,326
1403636592.813555479,1.989226,1.792133,3.782039,318
1403636592.863555431,2.063556,3.118560,5.182726,319
