timestamp,px,py,pz,qx,qy,qz,qw,features,clones
1403637130.688318968,-0.000054187,-0.000086088,-0.000408930,-0.789013193,0.018027347,-0.613736122,0.021474813,0,0
1403637130.738318920,-0.000335068,0.000401615,-0.000755045,-0.788611423,0.020032813,-0.614136211,0.022965727,200,1
1403637130.788319111,-0.000828284,0.000810815,-0.001238722,-0.788406982,0.021366929,-0.614328599,0.023627491,200,2
1403637130.838319063,-0.001371481,0.001431438,-0.001695200,-0.788036823,0.022731598,-0.614707597,0.024815530,200,3
1403637130.888319016,-0.002181590,0.002070459,-0.002238002,-0.787732421,0.024422690,-0.614979824,0.026095632,200,4
1403637130.938318968,-0.003176616,0.002634314,-0.002827534,-0.787258556,0.026152778,-0.615450322,0.027584425,200,5
1403637130.988318920,-0.004465628,0.002757766,-0.003462864,-0.786909569,0.027455485,-0.615804118,0.028369271,200,6
1403637131.038319111,-0.006141775,0.002502225,-0.004205846,-0.786644245,0.029018102,-0.616034737,0.029154492,200,7
1403637131.088319063,-0.007983594,0.001897051,-0.004969230,-0.786226171,0.030038617,-0.616482965,0.029913937,200,8
1403637131.138319016,-0.010225939,0.001205029,-0.005859411,-0.785774604,0.032464017,-0.616829117,0.032034352,200,9
1403637131.188318968,-0.012875882,-0.000349538,-0.006895031,-0.785508853,0.033892376,-0.617021381,0.033343129,200,10
1403637131.238318920,-0.015699443,-0.002680218,-0.007927660,-0.785113822,0.035437293,-0.617380387,0.034379389,200,11
1403637131.288319111,-0.000042106,-0.000309127,-0.000191737,-0.790017589,0.020472398,-0.612252301,0.024499169,125,11
1403637131.338319063,0.000200811,-0.000189627,-0.000439992,-0.790370655,0.019133112,-0.611910014,0.022677896,125,11
1403637131.388319016,0.000116457,-0.000217585,-0.000447584,-0.790425857,0.019242243,-0.611830026,0.022819314,150,11
1403637131.438318968,0.000269381,-0.000102543,-0.000361801,-0.790299180,0.019113222,-0.611986499,0.023117439,200,11
1403637131.488318920,0.000336431,-0.000090548,-0.000384697,-0.790346261,0.018870854,-0.611938800,0.022969188,200,11
