timestamp,tracking_ms,estimator_ms,total_ms,observations
1403638518.127829552,4.607966,0.013030,4.643937,0
1403638518.177829504,2.817244,0.016390,2.834554,281
1403638518.227829456,1.785741,0.017861,1.804382,283
1403638518.277829409,1.772962,0.493746,2.267728,283
1403638518.327829599,1.595599,0.174422,1.770731,283
1403638518.377829552,1.663390,0.068741,1.732861,283
1403638518.427829504,1.523458,0.061121,1.585359,283
1403638518.477829456,1.459808,0.059310,1.519588,283
1403638518.527829409,1.414427,0.073871,1.489028,283
1403638518.577829599,1.237765,0.065191,1.304106,283
1403638518.627829552,0.999352,0.061881,1.061643,283
1403638518.677829504,1.128774,0.077401,1.207035,283
1403638518.727829456,1.245935,0.091502,1.338387,283
1403638518.777829409,1.091184,0.081801,1.173885,283
1403638518.827829599,1.299426,0.088851,1.389447,283
1403638518.877829552,1.273305,25.910307,27.185302,283
1403638518.927829504,1.355577,2.967806,4.325833,283
1403638518.977829456,1.281016,0.106041,1.389407,283
1403638519.027829409,1.232035,0.070941,1.304336,284
1403638519.077829599,1.062073,0.067081,1.129874,285
1403638519.127829552,1.183085,0.075780,1.260145,285
1403638519.177829504,1.218045,0.070941,1.290116,285
1403638519.227829456,1.033663,0.063960,1.097943,285
1403638519.277829409,1.203555,0.067890,1.272015,285
1403638519.327829599,1.156544,0.073941,1.231735,285
1403638519.377829552,1.024993,0.065720,1.091173,285
1403638519.427829504,1.091744,0.076200,1.168684,285
1403638519.477829456,1.022282,3.288241,4.311233,285
1403638519.527829409,1.151064,5.182314,6.334078,285
1403638519.577829599,1.312286,0.345175,1.658811,285
1403638519.627829552,1.155424,0.311054,1.467108,285
1403638519.677829504,1.025542,0.289544,1.315456,285
1403638519.727829456,1.136014,0.318834,1.456278,285
1403638519.777829409,1.038873,0.309284,1.349117,285
1403638519.827829599,1.006793,0.290883,1.298236,285
1403638519.877829552,1.163034,0.295804,1.459798,285
1403638519.927829504,1.248585,0.308974,1.558459,285
1403638519.977829456,1.022172,0.289164,1.311806,285
1403638520.027829409,1.158124,0.398315,1.558759,285
1403638520.077829599,1.067723,1.601580,2.670633,285
1403638520.127829552,1.161474,2.444100,3.607374,285
1403638520.177829504,1.360347,0.370074,1.732131,285
1403638520.227829456,1.552339,0.385825,1.940824,285
1403638520.277829409,1.410518,0.310724,1.722002,285
1403638520.327829599,1.547849,0.360894,1.911933,285
1403638520.377829552,1.418667,0.332774,1.753362,285
1403638520.427829504,1.371017,0.303573,1.675200,285
1403638520.477829456,1.417397,0.308914,1.727281,285
1403638520.527829409,1.208565,0.331614,1.541979,285
1403638520.577829599,1.060603,0.336134,1.397237,285
1403638520.627829552,1.220314,0.340274,1.561588,285
1403638520.677829504,1.157024,1.496509,2.654343,285
1403638520.727829456,1.146204,2.364119,3.511153,285
1403638520.777829409,1.094914,0.337154,1.433388,285
1403638520.827829599,1.149004,0.442065,1.591909,285
1403638520.877829552,1.105224,0.306784,1.413058,285
1403638520.927829504,1.066643,0.294564,1.361997,285
1403638520.977829456,1.199105,0.307064,1.506919,285
1403638521.027829409,1.041613,0.288333,1.330396,285
1403638521.077829599,1.150394,0.300623,1.451867,285
1403638521.127829552,1.261255,0.347114,1.609869,285
1403638521.177829504,1.046863,0.320983,1.368246,285
1403638521.227829456,1.187605,0.314633,1.503358,285
1403638521.277829409,1.312126,1.543759,2.856595,285
1403638521.327829599,1.228835,2.406969,3.636654,285
1403638521.377829552,1.201945,0.340134,1.542999,285
1403638521.427829504,1.276455,0.350985,1.629630,285
1403638521.477829456,1.062013,0.299533,1.362116,285
1403638521.527829409,1.292676,0.305164,1.599440,285
1403638521.577829599,1.229995,0.315894,1.547149,284
1403638521.627829552,1.127483,0.298744,1.426927,284
1403638521.677829504,1.177224,0.337434,1.515338,284
1403638521.727829456,1.165854,0.324504,1.491038,284
1403638521.777829409,1.057363,0.294753,1.352556,284
