timestamp,px,py,pz,qx,qy,qz,qw,features,clones
1403636579.913555384,0.001964932,0.000797018,-0.002161471,-0.820906061,0.018517671,-0.570411299,0.020032102,0,0
1403636579.963555574,0.003099120,0.001129561,-0.006843247,-0.824017594,0.020168669,-0.565806620,0.021239067,191,1
1403636580.013555527,0.004497640,0.001068535,-0.013097026,-0.826408341,0.023157693,-0.562109751,0.023358138,210,2
1403636580.063555479,0.006341951,0.000353956,-0.020123371,-0.828072336,0.025642920,-0.559488813,0.024716690,201,3
1403636580.113555431,0.015909322,0.004324674,-0.113724105,-0.842501053,0.039269179,-0.535572098,0.042572716,219,4
1403636580.163555384,0.022705639,-0.002564511,-0.122504141,-0.835427002,0.031148823,-0.547591503,0.035142868,214,5
1403636580.213555574,0.021877514,0.001567770,-0.130324592,-0.827303256,0.017085283,-0.561305752,0.014603734,222,6
1403636580.263555527,0.017979391,0.006705915,-0.158855236,-0.825907774,0.017436016,-0.563395585,0.012559811,207,7
1403636580.313555479,0.003761675,0.009223283,-0.169404205,-0.820116267,0.012437092,-0.571977034,0.009843774,211,8
1403636580.363555431,-0.011356874,0.014242737,-0.182528714,-0.821273842,0.009748288,-0.570363937,0.009961238,205,9
1403636580.413555384,-0.024992562,0.020385896,-0.192554289,-0.826081674,0.009115535,-0.563391856,0.009777115,200,10
1403636580.463555574,-0.043402811,0.029699731,-0.205814540,-0.830599264,0.008085447,-0.556725471,0.009810123,186,11
1403636580.513555527,-0.025124994,0.005111895,-0.236182281,-0.843710527,0.007292234,-0.536605104,0.012423065,100,11
1403636580.563555479,-0.021757329,0.001617744,-0.236825231,-0.847685629,0.003915249,-0.530413917,0.008649950,163,11
1403636580.613555431,-0.026054068,0.001917019,-0.225770604,-0.849044572,0.003412224,-0.528211170,0.010228917,200,11
1403636580.663555384,-0.031158457,0.003590589,-0.205384074,-0.847510463,0.001420829,-0.530726224,0.007326050,176,11
1403636580.713555574,-0.032274022,0.003802344,-0.178737559,-0.844395403,-0.001291844,-0.535713234,0.002462930,192,11
1403636580.763555527,-0.031469915,0.005864929,-0.147763336,-0.837558869,-0.001333341,-0.546345458,0.000059955,182,11
1403636580.813555479,-0.030768070,0.004788508,-0.111726610,0.834453900,0.003754517,0.551021485,0.006922080,197,11
1403636580.863555431,-0.024192740,0.003392875,-0.074473638,0.828015624,0.005823280,0.560454292,0.015722660,197,11
1403636580.913555384,-0.023764656,0.004180020,-0.035957574,0.823689260,0.007717615,0.566451193,0.024687802,216,11
1403636580.963555574,-0.017169491,0.005982817,-0.000441920,0.815692797,0.009436489,0.577665886,0.029297410,224,11
1403636581.013555527,-0.006957487,0.009765233,0.046211102,0.818197650,0.030977961,0.571245347,0.057198999,240,11
1403636581.063555479,0.003716989,0.012908768,0.082107574,0.817262444,0.025860976,0.573755925,0.047089756,238,11
1403636581.113555431,-0.011108985,0.049277266,0.123114394,0.828047228,0.030508637,0.555994794,0.065397249,185,11
1403636581.163555384,-0.007040905,0.056372586,0.151482344,0.827713221,0.031204664,0.556046676,0.068769082,177,11
1403636581.213555574,-0.003276120,0.058787170,0.177574288,0.824618529,0.028791978,0.561029813,0.066489490,191,11
1403636581.263555527,0.001907197,0.060541301,0.197894345,0.825212992,0.022544186,0.561347242,0.058348542,185,11
1403636581.313555479,0.002887232,0.061513653,0.214939541,0.820790980,0.022998760,0.567828867,0.057823887,186,11
1403636581.363555431,0.002304193,0.065325033,0.223697796,0.818289679,0.024179848,0.571078688,0.060716284,161,11
1403636581.413555384,0.003804139,0.064533589,0.223104112,0.819525456,0.026092479,0.568753285,0.064937747,171,11
1403636581.463555574,0.006369961,0.064506185,0.211454572,0.826865702,0.029960231,0.557232784,0.069907939,156,11
1403636581.513555527,0.006193331,0.060924757,0.193820029,0.833143589,0.032569824,0.547147000,0.073763998,155,11
1403636581.563555479,0.006515009,0.057642292,0.170594644,0.841870719,0.034490938,0.532920044,0.077847889,139,11
1403636581.613555431,0.009726409,0.054919299,0.144854408,0.857941188,0.040376943,0.505382298,0.083038270,138,11
1403636581.663555384,0.006917875,0.048233201,0.118021738,0.868300394,0.042833608,0.486668694,0.085867866,144,11
1403636581.713555574,0.000278805,0.039437012,0.091100923,0.871679053,0.045166961,0.480231222,0.086680720,130,11
