timestamp,tracking_ms,estimator_ms,total_ms,observations
1403638127.295097113,4.447985,0.010350,4.478535,0
1403638127.345097065,2.786385,0.020770,2.807945,265
1403638127.395097017,1.955004,0.018850,1.974594,272
1403638127.445096970,1.676221,0.232732,1.909403,276
1403638127.495096922,1.787722,0.175462,1.964024,276
1403638127.545097113,1.823602,0.063521,1.887873,276
1403638127.595097065,1.733581,0.061321,1.795522,276
1403638127.645097017,1.923874,0.084891,2.010375,278
1403638127.695096970,1.700001,0.070400,1.771331,278
1403638127.745096922,1.586430,0.066161,1.653271,278
1403638127.795097113,1.566599,0.072691,1.640050,278
1403638127.845097065,1.838512,0.104042,1.945614,279
1403638127.895097017,1.602649,0.072881,1.676000,281
1403638127.945096970,1.803752,0.131532,1.938264,281
1403638127.995096922,1.706221,0.106702,1.814283,281
1403638128.045097113,1.659471,6.011644,7.671975,281
1403638128.095097065,1.724152,2.407269,4.133811,281
1403638128.145097017,1.806823,0.094731,1.902804,281
1403638128.195096970,1.340577,0.073021,1.414198,281
1403638128.245096922,1.281276,0.092291,1.374417,281
1403638128.295097113,1.139295,0.071271,1.211466,281
1403638128.345097065,1.024383,0.066180,1.091083,281
1403638128.395097017,1.206625,0.078351,1.285996,281
1403638128.445096970,1.275335,0.081701,1.357646,282
1403638128.495096922,1.016742,0.067291,1.084493,282
1403638128.545097113,1.165395,0.069660,1.235745,282
1403638128.595097065,1.148865,0.073710,1.223305,282
1403638128.645097017,1.025563,2.617682,3.643675,282
1403638128.695096970,1.241315,4.710088,5.952283,282
1403638128.745096922,1.259055,0.233693,1.493859,282
1403638128.795097113,1.088014,0.195762,1.284306,282
1403638128.845097065,1.254925,0.200133,1.455818,282
1403638128.895097017,1.193345,0.231752,1.426667,283
1403638128.945096970,1.193895,0.198842,1.393327,283
1403638128.995096922,1.290406,0.211892,1.502948,286
1403638129.045097113,1.366006,0.249264,1.617260,284
1403638129.095097065,1.411948,0.221112,1.634240,279
1403638129.145097017,1.420948,0.195392,1.617260,279
1403638129.195096970,1.373367,0.223412,1.597819,268
1403638129.245096922,2.096556,2.115456,4.212682,243
1403638129.295097113,3.132029,2.558151,5.692300,201
1403638129.345097065,2.947177,0.630087,3.578054,212
1403638129.395097017,2.876485,0.351965,3.229220,221
1403638129.445096970,2.429749,0.315624,2.747594,286
1403638129.495096922,1.977284,0.235713,2.216587,307
1403638129.545097113,1.607550,0.249283,1.857893,298
1403638129.595097065,1.479129,0.185622,1.665441,284
1403638129.645097017,1.755142,0.217272,1.973374,273
1403638129.695096970,1.571939,0.252353,1.824892,264
1403638129.745096922,1.873673,0.358585,2.233128,251
1403638129.795097113,1.808923,0.311234,2.121227,246
1403638129.845097065,1.650171,1.250445,2.901326,252
1403638129.895097017,2.067926,1.404717,3.474223,250
1403638129.945096970,2.267678,1.006723,3.275561,246
1403638129.995096922,1.904154,0.612827,2.517691,260
