timestamp,tracking_ms,estimator_ms,total_ms,observations
1403715273.312143087,4.413154,0.009170,4.442174,0
1403715273.362143040,2.983027,0.022090,3.005897,312
1403715273.412142992,1.648280,0.013340,1.662230,324
1403715273.462142944,1.720371,0.230303,1.951234,324
1403715273.512142897,1.707761,0.173722,1.882153,324
1403715273.562143087,1.698361,0.059991,1.758812,324
1403715273.612143040,1.726081,0.059711,1.786352,324
1403715273.662142992,1.787391,0.066731,1.855042,324
1403715273.712142944,1.721301,0.064411,1.786162,324
1403715273.762142897,1.823223,0.072120,1.896393,324
1403715273.812143087,1.762702,0.067461,1.831483,324
1403715273.862143040,1.875952,0.065221,1.941733,324
1403715273.912142992,1.788791,0.073641,1.863802,324
1403715273.962142944,1.830692,0.067591,1.898983,324
1403715274.012142897,1.781052,1.981674,3.763196,323
1403715274.062143087,1.857813,17.302250,19.160863,323
1403715274.112143040,1.894933,4.967030,6.864833,323
1403715274.162142992,1.948544,0.124541,2.074245,323
1403715274.212142944,1.855943,0.075721,1.932334,323
1403715274.262142897,1.916673,0.073831,1.991034,323
1403715274.312143087,1.736171,0.068191,1.804882,323
1403715274.362143040,1.765871,0.070241,1.836772,323
1403715274.412142992,1.818592,0.073101,1.892393,323
1403715274.462142944,1.739801,0.068701,1.808962,323
1403715274.512142897,1.737771,0.068880,1.807291,323
1403715274.562143087,1.751331,0.076511,1.828612,323
1403715274.612143040,1.723790,0.071941,1.796211,323
1403715274.662142992,1.726811,15.561119,17.288630,323
1403715274.712142944,1.807572,7.485391,9.294223,323
1403715274.762142897,1.813002,1.799912,3.614054,323
1403715274.812143087,1.765682,1.739351,3.505743,323
1403715274.862143040,1.775362,1.731611,3.507673,323
1403715274.912142992,1.697111,1.740071,3.437702,323
1403715274.962142944,1.771221,1.734621,3.506472,323
1403715275.012142897,1.741181,1.735861,3.477632,323
1403715275.062143087,1.655770,1.726341,3.382581,323
1403715275.112143040,1.720351,1.742271,3.463272,323
1403715275.162142992,1.732211,1.737071,3.469942,323
1403715275.212142944,1.802762,1.954283,3.757545,323
1403715275.262142897,1.822393,4.566095,6.389228,323
1403715275.312143087,1.786642,7.576792,9.364434,323
1403715275.362143040,1.783331,1.783482,3.567443,323
1403715275.412142992,1.823633,1.745681,3.569924,323
1403715275.462142944,1.835992,1.773851,3.610843,323
1403715275.512142897,1.735471,1.733112,3.469013,323
1403715275.562143087,1.750821,1.750871,3.502392,323
1403715275.612143040,1.836972,1.740031,3.577653,323
1403715275.662142992,1.775811,1.728991,3.505312,323
1403715275.712142944,1.729151,1.778722,3.508733,323
1403715275.762142897,1.359997,1.975184,3.335871,323
1403715275.812143087,1.199534,1.755001,2.954915,323
1403715275.862143040,1.222275,4.714528,5.937453,323
