timestamp,px,py,pz,qx,qy,qz,qw,features,clones
1403715524.112143040,0.000066531,-0.000162290,-0.000713520,0.813901498,0.007485025,0.580817609,0.012618674,0,0
1403715524.162142992,0.000061261,-0.000328647,-0.001171711,0.813614420,0.005859465,0.581261414,0.011506937,188,1
1403715524.212142944,-0.000011825,-0.000664185,-0.001665663,0.813337824,0.004266492,0.581683275,0.010389803,188,2
1403715524.262142897,-0.000143151,-0.001251138,-0.002184703,0.813056684,0.002674095,0.582104122,0.009298801,188,3
1403715524.312143087,-0.000383901,-0.002179868,-0.002709474,0.812773204,0.001108522,0.582520927,0.008237698,188,4
1403715524.362143040,-0.000767014,-0.003530120,-0.003279431,0.812496581,-0.000520800,0.582921765,0.007158975,188,5
1403715524.412142992,-0.001309121,-0.005380248,-0.003908927,0.812206302,-0.002112668,0.583335093,0.006052178,188,6
1403715524.462142944,-0.002006599,-0.007820044,-0.004564076,0.811903481,-0.003702753,0.583758586,0.004993905,188,7
1403715524.512142897,-0.002895039,-0.010942556,-0.005227303,0.811598805,-0.005331189,0.584177994,0.003876818,188,8
1403715524.562143087,-0.004046801,-0.014861274,-0.005909420,0.811291430,-0.006939819,0.584594019,0.002808405,188,9
1403715524.612143040,-0.005501551,-0.019652854,-0.006604568,0.810988516,-0.008535154,0.584997300,0.001713978,188,10
1403715524.662142992,-0.007277360,-0.025397130,-0.007263382,0.810672307,-0.010156460,0.585411735,0.000597608,188,11
1403715524.712142944,0.001196537,0.000496209,0.000437742,0.814220658,0.008257048,0.580344849,0.013281456,113,11
1403715524.762142897,-0.000492229,-0.000303254,0.000065648,0.814241902,0.010413931,0.580208340,0.016123200,113,11
1403715524.812143087,-0.000671834,-0.000297821,0.000204582,0.814230625,0.010514403,0.580224174,0.016057534,150,11
1403715524.862143040,-0.000850353,-0.000216319,0.000278702,0.814215297,0.010543621,0.580249340,0.015905532,198,11
1403715524.912142992,-0.001054935,-0.000099049,0.000324929,0.814131038,0.010535984,0.580368096,0.015890847,198,11
1403715524.962142944,-0.001287148,0.000070066,0.000277231,0.814097600,0.010509764,0.580416921,0.015837972,198,11
1403715525.012142897,-0.001550797,0.000249093,0.000233193,0.814035651,0.010475716,0.580506357,0.015766655,198,11
1403715525.062143087,-0.001858652,0.000344650,0.000128089,0.814069323,0.010559222,0.580457067,0.015787125,198,11
1403715525.112143040,-0.002211970,0.000372081,0.000015216,0.814066705,0.010440505,0.580467895,0.015601872,198,11
1403715525.162142992,-0.002564639,0.000368159,-0.000129248,0.814069623,0.010533261,0.580460331,0.015668521,198,11
1403715525.212142944,-0.002950461,0.000415749,-0.000296242,0.814074724,0.010296655,0.580459098,0.015606391,198,11
1403715525.262142897,-0.003355766,0.000465398,-0.000448813,0.814071311,0.010108496,0.580461765,0.015806920,198,11
1403715525.312143087,-0.000767830,-0.000389032,0.000144117,0.816710325,0.017465781,0.576191800,0.026118977,123,11
1403715525.362143040,-0.000548239,-0.000303173,0.000251932,0.813602827,0.018535624,0.580457526,0.027855535,111,11
1403715525.412142992,-0.000540388,-0.000343587,0.000208819,0.812582264,0.018876485,0.581859463,0.028165724,130,11
1403715525.462142944,-0.000541663,-0.000309890,0.000148586,0.811679220,0.019404148,0.583075175,0.028699550,178,11
1403715525.512142897,-0.000533354,-0.000312780,0.000125055,0.810723309,0.019710296,0.584373011,0.029110212,178,11
1403715525.562143087,-0.000553359,-0.000345398,0.000093095,0.809575845,0.020140232,0.585910894,0.029828624,178,11
1403715525.612143040,-0.000594943,-0.000404798,0.000101768,0.808563997,0.020438474,0.587261000,0.030513097,178,11
1403715525.662142992,-0.000694207,-0.000499156,0.000129583,0.807877956,0.020254060,0.588191361,0.030885321,178,11
1403715525.712142944,-0.000794810,-0.000474595,0.000164907,0.807394006,0.020573908,0.588843440,0.030903663,178,11
1403715525.762142897,-0.000856013,-0.000434463,0.000203413,0.807404890,0.020522773,0.588849356,0.030538436,178,11
1403715525.812143087,-0.000853108,-0.000378957,0.000238744,0.807425678,0.020713608,0.588823337,0.030361146,178,11
1403715525.862143040,-0.000839130,-0.000271688,0.000283712,0.807998462,0.020701218,0.588064649,0.029831397,178,11
