timestamp,tracking_ms,estimator_ms,total_ms,observations
1403715886.584058046,5.329664,0.011750,5.360344,0
1403715886.634057999,3.003966,0.023901,3.028947,366
1403715886.684057951,1.725160,0.015431,1.741121,366
1403715886.734057903,1.859222,0.256243,2.116035,365
1403715886.784058094,1.906883,0.170892,2.078565,365
1403715886.834058046,1.799262,0.060571,1.860233,364
1403715886.884057999,1.947543,0.059681,2.007704,363
1403715886.934057951,1.868092,0.060381,1.929023,363
1403715886.984057903,1.805712,1.939343,3.745495,362
1403715887.034058094,1.929123,0.069871,1.999664,362
1403715887.084058046,1.995704,0.076301,2.072885,361
1403715887.134057999,1.781801,0.066241,1.848622,360
1403715887.184057951,1.772131,0.065441,1.838182,360
1403715887.234057903,1.833922,0.065590,1.900112,360
1403715887.284058094,1.787092,0.064140,1.851642,360
1403715887.334058046,1.797902,12.753043,14.551885,360
1403715887.384057999,2.006874,4.464953,6.473297,359
1403715887.434057951,1.821312,0.885331,2.707313,359
1403715887.484057903,1.951184,0.071261,2.023065,359
1403715887.534058094,1.886772,0.066501,1.953833,358
1403715887.584058046,1.768611,0.063151,1.832262,358
1403715887.634057999,1.826972,0.065471,1.892993,358
1403715887.684057951,1.838062,0.078691,1.917563,357
1403715887.734057903,1.743131,0.066941,1.810472,357
1403715887.784058094,1.837722,0.066881,1.905123,357
1403715887.834058046,1.778061,0.068321,1.846882,357
1403715887.884057999,1.749571,0.066921,1.816922,357
1403715887.934057951,1.784511,12.049745,13.834796,357
1403715887.984057903,1.906283,9.696706,11.604009,357
1403715888.034058094,1.899863,2.388439,4.289092,357
1403715888.084058046,1.788571,1.701971,3.491312,357
1403715888.134057999,1.843652,1.680971,3.525243,357
1403715888.184057951,1.906523,1.621740,3.528743,356
1403715888.234057903,1.808242,1.675160,3.484052,356
1403715888.284058094,1.837222,1.672340,3.510302,356
1403715888.334058046,1.872422,1.663510,3.536412,356
1403715888.384057999,1.838812,1.679950,3.519392,356
1403715888.434057951,1.805011,1.678560,3.484261,356
1403715888.484057903,1.839902,1.847072,3.687394,356
1403715888.534058094,1.705631,5.575087,7.282348,356
1403715888.584058046,1.688280,5.596648,7.286608,356
1403715888.634057999,1.806471,2.486750,4.294281,356
1403715888.684057951,1.724680,1.686991,3.412811,356
1403715888.734057903,1.691390,1.660390,3.352460,356
1403715888.784058094,1.635219,1.588339,3.224038,356
1403715888.834058046,1.679290,1.598009,3.277949,356
1403715888.884057999,1.730721,1.571079,3.302580,356
1403715888.934057951,1.765471,1.528448,3.294489,356
1403715888.984057903,1.689320,1.537948,3.227959,356
1403715889.034058094,1.781822,1.681020,3.463542,356
1403715889.084058046,1.570208,1.584989,3.155697,356
1403715889.134057999,1.638430,4.863818,6.502918,356
1403715889.184057951,1.716721,6.060013,7.777604,356
1403715889.234057903,1.810222,2.401938,4.213250,356
1403715889.284058094,1.752311,1.708541,3.461922,356
1403715889.334058046,1.741291,2.092875,3.834976,356
1403715889.384057999,1.726141,1.807782,3.534513,356
1403715889.434057951,1.670290,1.901813,3.572753,356
1403715889.484057903,1.639070,1.822312,3.462302,356
1403715889.534058094,1.737081,1.797452,3.535013,356
1403715889.584058046,1.762921,1.964394,3.727965,356
1403715889.634057999,1.723231,1.862403,3.586344,356
1403715889.684057951,1.637880,1.793231,3.431711,356
1403715889.734057903,1.490588,5.479986,6.971194,356
1403715889.784058094,1.460017,5.535687,6.997984,356
1403715889.834058046,1.377047,2.496510,3.874587,355
1403715889.884057999,1.440147,1.807312,3.248499,355
1403715889.934057951,1.440928,1.797371,3.239029,355
1403715889.984057903,1.292315,1.783061,3.075876,355
1403715890.034058094,1.228115,1.886363,3.115118,354
1403715890.084058046,1.364566,1.804592,3.169948,354
1403715890.134057999,1.378997,1.893943,3.273390,354
1403715890.184057951,1.234915,1.805322,3.040967,354
1403715890.234057903,1.464687,1.729721,3.195108,353
1403715890.284058094,1.334806,1.705241,3.040507,353
1403715890.334058046,1.296875,5.107261,6.404966,352
1403715890.384057999,1.392797,5.469416,6.863193,352
1403715890.434057951,1.452938,2.393208,3.846856,352
1403715890.484057903,1.207475,1.719771,2.928586,352
1403715890.534058094,1.317475,1.743301,3.062236,352
1403715890.584058046,1.222935,1.690510,2.913885,352
1403715890.634057999,1.245375,1.710370,2.956325,352
1403715890.684057951,1.345956,1.859063,3.205899,352
1403715890.734057903,1.312126,1.744791,3.057397,352
1403715890.784058094,1.261535,1.794112,3.056347,352
1403715890.834058046,1.296506,1.701510,2.998816,352
1403715890.884057999,1.241865,1.689360,2.931665,352
1403715890.934057951,1.288106,5.340324,6.629950,352
1403715890.984057903,1.475158,5.708679,7.186627,352
1403715891.034058094,1.295536,2.560111,3.857027,352
1403715891.084058046,1.424447,1.711430,3.138137,352
1403715891.134057999,1.361747,1.738651,3.102388,352
1403715891.184057951,1.232025,1.659450,2.892445,352
1403715891.234057903,1.392116,1.822222,3.215168,352
1403715891.284058094,1.238075,1.701701,2.940806,352
1403715891.334058046,1.302366,1.640540,2.943526,352
1403715891.384057999,1.218034,1.762071,2.980885,352
1403715891.434057951,1.436817,1.664610,3.102407,352
1403715891.484057903,1.382836,1.644120,3.027656,352
1403715891.534058094,1.278325,5.004500,6.283645,352
1403715891.584058046,1.436197,5.485646,6.922823,352
1403715891.634057999,1.492627,2.313438,3.806945,352
1403715891.684057951,1.392157,1.669870,3.063077,352
1403715891.734057903,1.404847,1.569258,2.974955,352
1403715891.784058094,1.372816,1.697771,3.071277,352
1403715891.834058046,1.651840,1.775631,3.431181,352
1403715891.884057999,1.401917,1.588489,2.991326,352
1403715891.934057951,1.225015,1.586739,2.812454,352
1403715891.984057903,1.491278,1.671570,3.163658,352
1403715892.034058094,1.351267,1.580829,2.932936,352
1403715892.084058046,1.358326,1.552979,2.911975,352
1403715892.134057999,1.301146,4.856758,6.158704,352
1403715892.184057951,1.525998,5.776960,7.304198,352
1403715892.234057903,1.453188,2.439999,3.894357,352
1403715892.284058094,1.332736,1.772901,3.106647,352
1403715892.334058046,1.343217,1.834462,3.178559,351
1403715892.384057999,1.378267,1.708930,3.087877,351
1403715892.434057951,1.330676,1.670880,3.002406,350
1403715892.484057903,1.275065,1.670820,2.946715,349
1403715892.534058094,1.238915,1.659870,2.899435,349
1403715892.584058046,1.343146,1.719170,3.063136,349
1403715892.634057999,1.303025,1.683480,2.987795,349
1403715892.684057951,1.199524,1.570039,2.770233,349
1403715892.734057903,1.289096,4.853678,6.143754,348
1403715892.784058094,1.519069,5.463005,6.983564,348
1403715892.834058046,1.348176,2.272187,3.622413,348
1403715892.884057999,1.236925,1.750741,2.988796,348
1403715892.934057951,1.339876,1.550859,2.891735,348
1403715892.984057903,1.192364,1.493188,2.686232,348
1403715893.034058094,1.396627,1.544249,2.941716,348
1403715893.084058046,1.351816,1.515518,2.868164,347
1403715893.134057999,1.357506,1.497198,2.855294,346
1403715893.184057951,1.300886,1.620580,2.922196,346
1403715893.234057903,1.294656,1.703740,2.999086,344
1403715893.284058094,1.211864,1.898523,3.111247,344
1403715893.334058046,1.461598,4.897719,6.360107,344
1403715893.384057999,1.259905,5.451526,6.712411,344
1403715893.434057951,1.491588,2.429379,3.921577,329
1403715893.484057903,2.271087,1.708651,3.980508,299
1403715893.534058094,2.045125,1.567929,3.613864,314
1403715893.584058046,1.733401,1.552309,3.286320,317
1403715893.634057999,1.856053,1.463627,3.320470,324
1403715893.684057951,1.540498,1.525249,3.066487,326
1403715893.734057903,1.531849,1.288745,2.821124,318
1403715893.784058094,1.348186,1.346347,2.695233,353
1403715893.834058046,1.472148,1.300745,2.773593,348
1403715893.884057999,1.521328,1.266155,2.787993,344
1403715893.934057951,1.462837,4.406353,5.869920,336
1403715893.984057903,1.446137,3.995168,5.442475,334
1403715894.034058094,1.315966,2.225106,3.541712,333
1403715894.084058046,1.327826,1.384057,2.712573,331
1403715894.134057999,1.232915,3.413001,4.646606,330
1403715894.184057951,1.324986,1.965274,3.290850,330
1403715894.234057903,1.228945,3.087117,4.316792,327
1403715894.284058094,1.381377,1.549438,2.931535,325
1403715894.334058046,1.449827,3.182328,4.632735,324
1403715894.384057999,1.589329,1.510999,3.101058,322
1403715894.434057951,1.510598,1.616820,3.128338,356
1403715894.484057903,1.460258,1.522548,2.983606,349
1403715894.534058094,1.476218,4.697956,6.174804,343
1403715894.584058046,1.389727,4.242811,5.633948,340
1403715894.634057999,1.456588,2.610401,4.067889,336
1403715894.684057951,1.618850,2.277017,3.897147,330
1403715894.734057903,1.530219,2.737733,4.268872,328
1403715894.784058094,1.395597,1.842012,3.238359,325
1403715894.834058046,1.757821,3.122388,4.880899,321
1403715894.884057999,1.535919,1.461027,2.997626,355
1403715894.934057951,1.475017,3.016697,4.492234,345
1403715894.984057903,1.349586,2.302698,3.652974,340
1403715895.034058094,1.604580,1.557648,3.162948,332
1403715895.084058046,1.571189,1.710780,3.282519,354
1403715895.134057999,1.560719,4.587265,6.148624,347
1403715895.184057951,1.352307,3.733904,5.086971,342
1403715895.234057903,1.605919,2.804344,4.410873,339
1403715895.284058094,1.668320,2.213906,3.882936,332
1403715895.334058046,1.453738,2.622821,4.077219,368
1403715895.384057999,1.640259,1.901123,3.541972,361
1403715895.434057951,1.456358,4.010378,5.467436,353
1403715895.484057903,1.515368,1.630419,3.147257,351
1403715895.534058094,1.623409,3.181399,4.805398,345
1403715895.584058046,1.517428,1.922894,3.441402,361
1403715895.634057999,1.413207,2.639282,4.053129,358
1403715895.684057951,1.401306,1.850103,3.252059,356
1403715895.734057903,1.525399,4.492034,6.018113,349
1403715895.784058094,1.677980,3.477812,5.156642,337
1403715895.834058046,1.640889,2.410479,4.051978,360
1403715895.884057999,1.678440,3.506732,5.185832,339
1403715895.934057951,1.851693,2.506290,4.358793,322
1403715895.984057903,1.564629,1.459778,3.025057,385
1403715896.034058094,1.535448,4.220431,5.756639,377
1403715896.084058046,1.345216,1.480808,2.826784,366
1403715896.134057999,1.550259,3.303210,4.853949,365
1403715896.184057951,1.523578,2.094355,3.618663,363
1403715896.234057903,1.559858,2.284488,3.845056,358
1403715896.284058094,1.419797,1.578949,2.999366,348
1403715896.334058046,1.935933,4.052209,5.988872,339
1403715896.384057999,1.590529,3.833677,5.425236,378
1403715896.434057951,1.440137,2.167096,3.607923,375
1403715896.484057903,1.437398,2.963735,4.402013,365
1403715896.534058094,1.507538,4.564274,6.072572,359
1403715896.584058046,1.502938,1.556209,3.059897,355
1403715896.634057999,1.600539,3.323310,4.924659,347
1403715896.684057951,1.631949,1.679550,3.312199,367
1403715896.734057903,1.550028,3.087328,4.637866,364
1403715896.784058094,1.535748,1.783342,3.319760,362
1403715896.834058046,1.673280,2.315258,3.989218,358
1403715896.884057999,1.477868,1.485018,2.963536,379
1403715896.934057951,1.523989,5.106831,6.631560,373
1403715896.984057903,1.705171,3.843546,5.551577,370
1403715897.034058094,1.686731,2.842264,4.529705,365
1403715897.084058046,1.848362,2.851724,4.700776,357
1403715897.134057999,1.826382,3.735115,5.562917,360
1403715897.184057951,1.632850,2.249227,3.882827,370
1403715897.234057903,2.100735,3.404141,5.505776,358
1403715897.284058094,1.783692,1.916953,3.701425,376
1403715897.334058046,1.944764,3.433751,5.379115,358
1403715897.384057999,2.035364,1.981714,4.017808,366
1403715897.434057951,2.218467,2.506420,4.725637,366
1403715897.484057903,1.908702,1.446498,3.355810,377
