timestamp,px,py,pz,qx,qy,qz,qw
1403636860.90153,-0.005435,0.000526,-0.003312,0.855213,-0.046748,0.515683,0.022290
1403636860.95344,-0.006410,-0.002014,0.017389,0.854459,-0.043578,0.517211,0.022237
1403636861.00239,-0.004492,-0.002731,0.043493,0.855348,-0.041650,0.515885,0.022519
1403636861.05178,-0.002597,-0.003550,0.071173,0.852484,-0.041169,0.520655,0.022263
1403636861.10177,0.000482,-0.004611,0.100664,0.848060,-0.040937,0.527818,0.022948
1403636861.15171,0.002703,-0.006272,0.131248,0.842520,-0.041111,0.536580,0.023474
1403636861.20132,0.006068,-0.007743,0.163481,0.836317,-0.040147,0.546226,0.024459
1403636861.25127,0.009147,-0.009417,0.194646,0.829562,-0.039306,0.556455,0.025303
1403636861.30068,0.015780,-0.010495,0.228802,0.824806,-0.038300,0.563501,0.026351
1403636861.35101,0.017794,-0.013486,0.258006,0.820743,-0.039128,0.569359,0.026093
1403636861.40140,0.018571,-0.016003,0.280827,0.815467,-0.041409,0.576773,0.025134
1403636861.45166,0.021666,-0.019299,0.296336,0.811095,-0.042326,0.582807,0.025869
1403636861.50154,0.024188,-0.019919,0.299648,0.806982,-0.043732,0.588377,0.026074
1403636861.55148,0.021382,-0.021306,0.298380,0.805973,-0.044749,0.589570,0.028493
1403636861.60145,0.025208,-0.021306,0.290678,0.807752,-0.044653,0.587115,0.028946
1403636861.65143,0.025883,-0.022271,0.273692,0.810570,-0.044865,0.583275,0.027454
1403636861.70144,0.025900,-0.022676,0.251018,0.813917,-0.044500,0.578672,0.026395
1403636861.75173,0.023687,-0.022873,0.226078,0.817788,-0.044101,0.573299,0.024629
1403636861.80191,0.019923,-0.023293,0.200687,0.821582,-0.042785,0.567913,0.025448
1403636861.85182,0.017990,-0.022380,0.171456,0.825519,-0.042322,0.562304,0.023291
1403636861.90159,0.016501,-0.020844,0.141593,0.831299,-0.042066,0.553859,0.020323
1403636861.95151,0.013651,-0.017621,0.112541,0.838238,-0.042616,0.543339,0.017958
1403636862.00163,0.009187,-0.014936,0.084747,0.844347,-0.043756,0.533793,0.015087
1403636862.05163,0.007240,-0.011528,0.056382,0.849597,-0.045585,0.525323,0.011968
1403636862.10151,0.004117,-0.008184,0.030758,0.853262,-0.046767,0.519274,0.010538
1403636862.15120,0.002033,-0.005305,0.008897,0.855339,-0.047511,0.515825,0.007922
1403636862.20097,-0.000656,-0.002327,-0.008712,0.857508,-0.045325,0.512400,0.008474
1403636862.25093,-0.002242,-0.001950,-0.018175,0.859527,-0.042979,0.509175,0.010328
1403636862.30085,-0.004204,-0.001153,-0.021258,0.861818,-0.041132,0.505419,0.011362
