# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636860.901532173156738,0.00252,0.00008,0.00028,0.00000,0.00000,0.00111,0.00399
1403636860.953437566757202,0.00275,0.00007,0.00301,0.00000,0.00000,0.00094,0.00677
1403636861.002386093139648,0.00267,0.00009,0.00170,0.00000,0.00000,0.00090,0.00536
1403636861.051777839660645,0.00244,0.00008,0.00115,0.00000,0.00000,0.00108,0.00475
1403636861.101768970489502,0.00251,0.00008,0.00010,0.00000,0.00000,0.00099,0.00368
1403636861.151706457138062,0.00216,0.00008,0.00033,0.00000,0.00000,0.00103,0.00361
1403636861.201317548751831,0.00287,0.00009,0.00044,0.00000,0.00000,0.00139,0.00479
1403636861.251271963119507,0.00269,0.00009,0.00031,0.00000,0.00000,0.00122,0.00431
1403636861.300675868988037,0.00255,0.00015,0.00063,0.00000,0.00000,0.00107,0.00439
1403636861.351006507873535,0.00222,0.00009,0.00091,0.00000,0.00000,0.00105,0.00427
1403636861.401400804519653,0.00257,0.00009,0.00063,0.00000,0.00000,0.00133,0.00461
1403636861.451660156250000,0.00253,0.00010,0.00131,0.00000,0.00000,0.00131,0.00526
1403636861.501541852951050,0.00223,0.00008,0.00067,0.00000,0.00000,0.00100,0.00398
1403636861.551481962203979,0.00226,0.00010,0.00636,0.00000,0.00000,0.00134,0.01006
1403636861.601454973220825,0.00232,0.00010,0.00244,0.00000,0.00000,0.00132,0.00618
1403636861.651433467864990,0.00224,0.00010,0.00004,0.00000,0.00171,0.00136,0.00545
1403636861.701437711715698,0.00220,0.00009,0.00016,0.00010,0.00000,0.00111,0.00367
1403636861.751726865768433,0.00263,0.00009,0.00007,0.00011,0.00307,0.00111,0.00709
1403636861.801908969879150,0.00249,0.00010,0.00106,0.00033,0.00002,0.00108,0.00508
1403636861.851821184158325,0.00231,0.00012,0.00023,0.00036,0.00236,0.00130,0.00667
1403636861.901590824127197,0.00315,0.00012,0.00082,0.00057,0.00000,0.00125,0.00591
1403636861.951513051986694,0.00233,0.00010,0.00030,0.00055,0.00586,0.00109,0.01023
1403636862.001633167266846,0.00229,0.00009,0.00075,0.00164,0.00332,0.00131,0.00940
1403636862.051626920700073,0.00272,0.00020,0.00038,0.00134,0.00135,0.00127,0.00727
1403636862.101508617401123,0.00274,0.00013,0.00013,0.00146,0.00008,0.00101,0.00556
1403636862.151195764541626,0.00229,0.00009,0.00078,0.00092,0.00774,0.00125,0.01307
1403636862.200966119766235,0.00283,0.00015,0.00063,0.00157,0.00327,0.00124,0.00969
1403636862.250933170318604,0.00293,0.00012,0.00029,0.00161,0.00013,0.00109,0.00616
1403636862.300853013992310,0.00228,0.00013,0.00024,0.00183,0.00247,0.00126,0.00822
1403636862.350821256637573,0.00244,0.00016,0.00010,0.00180,0.00046,0.00127,0.00623
1403636862.400858640670776,0.00251,0.00017,0.00037,0.00178,0.00002,0.00155,0.00641
1403636862.501121282577515,0.00313,0.00025,0.00273,0.00134,0.00523,0.00093,0.01362
1403636862.551214694976807,0.00326,0.00016,0.00125,0.00173,0.00000,0.00127,0.00768
1403636862.601332426071167,0.00270,0.00014,0.00193,0.00158,0.00018,0.00107,0.00760
1403636862.651391029357910,0.00212,0.00017,0.00184,0.00169,0.00001,0.00107,0.00690
1403636862.701443433761597,0.00280,0.00016,0.00177,0.00155,0.00106,0.00125,0.00860
1403636862.751466989517212,0.00241,0.00013,0.00032,0.00174,0.00000,0.00108,0.00568
1403636862.801472663879395,0.00284,0.00013,0.00123,0.00153,0.00104,0.00134,0.00811
1403636862.851431131362915,0.00224,0.00011,0.00030,0.00146,0.00169,0.00120,0.00701
1403636862.901417732238770,0.00228,0.00013,0.00054,0.00140,0.00011,0.00111,0.00558
1403636862.951429605484009,0.00251,0.00013,0.00059,0.00133,0.00097,0.00105,0.00658
1403636863.001430511474609,0.00236,0.00015,0.00028,0.00144,0.00000,0.00114,0.00536
1403636863.051444530487061,0.00234,0.00015,0.00026,0.00142,0.00003,0.00129,0.00548
1403636863.101461410522461,0.00196,0.00013,0.00014,0.00140,0.00548,0.00108,0.01019
1403636863.151486873626709,0.00199,0.00013,0.00025,0.00195,0.00050,0.00120,0.00602
1403636863.201485633850098,0.00203,0.00013,0.00005,0.00201,0.00000,0.00132,0.00554
1403636863.251462936401367,0.00234,0.00012,0.00003,0.00202,0.00488,0.00121,0.01061
1403636863.301495552062988,0.00204,0.00014,0.00100,0.00276,0.00169,0.00117,0.00880
1403636863.351512908935547,0.00229,0.00012,0.00291,0.00286,0.00053,0.00094,0.00965
1403636863.401534795761108,0.00235,0.00019,0.00124,0.00302,0.00011,0.00135,0.00826
1403636863.451553583145142,0.00245,0.00015,0.00266,0.00294,0.00081,0.00106,0.01007
1403636863.501546144485474,0.00218,0.00014,0.00253,0.00283,0.00002,0.00099,0.00870
1403636863.551542520523071,0.00238,0.00011,0.00032,0.00259,0.00076,0.00101,0.00717
1403636863.601541280746460,0.00260,0.00016,0.00047,0.00311,0.00013,0.00125,0.00771
1403636863.651542425155640,0.00258,0.00014,0.00012,0.00251,0.00002,0.00125,0.00662
1403636863.701558113098145,0.00211,0.00014,0.00015,0.00226,0.00142,0.00101,0.00710
1403636863.751580953598022,0.00269,0.00010,0.00026,0.00217,0.00058,0.00098,0.00678
1403636863.801588058471680,0.00214,0.00014,0.00076,0.00203,0.00000,0.00122,0.00630
1403636863.851588726043701,0.00267,0.00012,0.00015,0.00176,0.00009,0.00172,0.00652
1403636863.901592493057251,0.00221,0.00013,0.00015,0.00185,0.00095,0.00123,0.00652
1403636863.951588153839111,0.00226,0.00010,0.00047,0.00194,0.00183,0.00104,0.00763
1403636864.001607894897461,0.00308,0.00019,0.00093,0.00215,0.00415,0.00116,0.01166
1403636864.051626682281494,0.00266,0.00014,0.00182,0.00346,0.00109,0.00122,0.01039
1403636864.101643800735474,0.00305,0.00013,0.00270,0.00331,0.00000,0.00122,0.01041
1403636864.151647090911865,0.00265,0.00014,0.00311,0.00301,0.00000,0.00128,0.01020
1403636864.201645374298096,0.00289,0.00013,0.00256,0.00259,0.00052,0.00108,0.00977
1403636864.251676797866821,0.00229,0.00015,0.00070,0.00235,0.00002,0.00103,0.00655
1403636864.301710844039917,0.00270,0.00015,0.00030,0.00238,0.00056,0.00102,0.00711
1403636864.351709604263306,0.00225,0.00014,0.00067,0.00222,0.00043,0.00100,0.00670
1403636864.401700735092163,0.00254,0.00011,0.00065,0.00216,0.00000,0.00102,0.00649
1403636864.451726436614990,0.00245,0.00010,0.00126,0.00196,0.00046,0.00104,0.00727
1403636864.501722574234009,0.00232,0.00009,0.00118,0.00167,0.00033,0.00097,0.00655
1403636864.551709651947021,0.00239,0.00016,0.00076,0.00163,0.00260,0.00112,0.00865
1403636864.601710557937622,0.00239,0.00013,0.00029,0.00199,0.00037,0.00098,0.00614
1403636864.651702404022217,0.00192,0.00010,0.00211,0.00187,0.00358,0.00085,0.01042
1403636864.701685190200806,0.00186,0.00009,0.00015,0.00224,0.00048,0.00079,0.00562
1403636864.751669406890869,0.00148,0.00010,0.00236,0.00227,0.00195,0.00081,0.00896
1403636864.801660060882568,0.00183,0.00009,0.00005,0.00261,0.00000,0.00079,0.00537
1403636864.851658582687378,0.00278,0.00019,0.00230,0.00281,0.00013,0.00147,0.00968
1403636864.901660919189453,0.00237,0.00017,0.00077,0.00308,0.00002,0.00116,0.00757
