# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637135.371432304382324,0.00363,0.00008,0.00089,0.00000,0.00000,0.00124,0.00584
1403637135.421432256698608,0.00270,0.00005,0.00119,0.00000,0.00000,0.00065,0.00460
1403637135.485792875289917,0.00320,0.00008,0.00121,0.00000,0.00000,0.00106,0.00556
1403637135.536556005477905,0.00315,0.00010,0.00024,0.00000,0.00000,0.00096,0.00445
1403637135.586555957794189,0.00215,0.00008,0.00018,0.00000,0.00000,0.00074,0.00315
1403637135.636944293975830,0.00280,0.00009,0.00028,0.00000,0.00000,0.00154,0.00472
1403637135.685777187347412,0.00260,0.00009,0.00031,0.00000,0.00000,0.00103,0.00403
1403637135.735518932342529,0.00290,0.00008,0.00026,0.00000,0.00000,0.00097,0.00421
1403637135.785745859146118,0.00260,0.00008,0.00020,0.00000,0.00000,0.00094,0.00382
1403637135.835983037948608,0.00208,0.00012,0.00022,0.00000,0.00000,0.00114,0.00357
1403637135.885982990264893,0.00212,0.00008,0.00005,0.00000,0.00000,0.00091,0.00316
1403637135.937556028366089,0.00162,0.00009,0.00041,0.00000,0.00000,0.00089,0.00301
1403637135.986973762512207,0.00148,0.00007,0.00056,0.00000,0.00000,0.00085,0.00296
1403637136.036446809768677,0.00148,0.00007,0.00196,0.00000,0.00000,0.00089,0.00442
1403637136.087150096893311,0.00132,0.00007,0.00230,0.00000,0.00000,0.00081,0.00451
1403637136.137150049209595,0.00220,0.00007,0.00008,0.00000,0.00136,0.00082,0.00454
1403637136.187150001525879,0.00235,0.00010,0.00030,0.00000,0.00040,0.00124,0.00438
1403637136.237143993377686,0.00172,0.00010,0.00034,0.00000,0.00008,0.00114,0.00337
1403637136.287144184112549,0.00234,0.00007,0.00050,0.00000,0.00126,0.00088,0.00505
1403637136.337217092514038,0.00161,0.00007,0.00043,0.00000,0.00033,0.00077,0.00321
1403637136.387217044830322,0.00263,0.00007,0.00023,0.00000,0.00000,0.00077,0.00370
1403637136.437216997146606,0.00312,0.00008,0.00023,0.00000,0.00000,0.00079,0.00422
1403637136.487353324890137,0.00241,0.00008,0.00028,0.00000,0.00000,0.00078,0.00355
1403637136.538928270339966,0.00253,0.00008,0.00044,0.00000,0.00025,0.00083,0.00414
1403637136.590832471847534,0.00227,0.00008,0.00027,0.00003,0.00053,0.00087,0.00406
1403637136.640851974487305,0.00193,0.00008,0.00032,0.00005,0.00116,0.00087,0.00442
1403637136.690375804901123,0.00218,0.00010,0.00009,0.00007,0.00091,0.00121,0.00455
1403637136.740110397338867,0.00243,0.00010,0.00028,0.00007,0.00072,0.00107,0.00467
1403637136.789983510971069,0.00310,0.00010,0.00036,0.00006,0.00000,0.00117,0.00480
1403637136.839647293090820,0.00258,0.00008,0.00035,0.00006,0.00030,0.00094,0.00430
1403637136.889524221420288,0.00247,0.00010,0.00139,0.00004,0.00060,0.00111,0.00571
1403637136.939219236373901,0.00272,0.00008,0.00039,0.00008,0.00111,0.00074,0.00512
1403637136.989096164703369,0.00259,0.00011,0.00050,0.00006,0.00052,0.00110,0.00488
1403637137.039113998413086,0.00263,0.00011,0.00040,0.00003,0.00011,0.00103,0.00431
1403637137.089039325714111,0.00288,0.00009,0.00035,0.00003,0.00010,0.00136,0.00482
1403637137.139006614685059,0.00237,0.00010,0.00009,0.00003,0.00022,0.00119,0.00400
1403637137.188876152038574,0.00223,0.00011,0.00015,0.00005,0.00015,0.00106,0.00375
1403637137.238806962966919,0.00192,0.00008,0.00005,0.00005,0.00065,0.00081,0.00356
1403637137.288689136505127,0.00202,0.00009,0.00005,0.00005,0.00033,0.00085,0.00339
1403637137.338623285293579,0.00160,0.00008,0.00015,0.00005,0.00063,0.00092,0.00344
1403637137.388588905334473,0.00162,0.00008,0.00019,0.00006,0.00000,0.00086,0.00282
1403637137.438434839248657,0.00217,0.00010,0.00028,0.00006,0.00074,0.00131,0.00466
1403637137.488392353057861,0.00275,0.00010,0.00066,0.00007,0.00118,0.00114,0.00589
1403637137.538512945175171,0.00218,0.00010,0.00024,0.00008,0.00136,0.00087,0.00484
1403637137.588437795639038,0.00267,0.00010,0.00046,0.00013,0.00118,0.00113,0.00566
1403637137.638434410095215,0.00332,0.00012,0.00041,0.00012,0.00056,0.00121,0.00574
1403637137.688434839248657,0.00275,0.00011,0.00028,0.00010,0.00045,0.00145,0.00514
1403637137.738430976867676,0.00237,0.00010,0.00024,0.00010,0.00067,0.00108,0.00456
1403637137.788360357284546,0.00248,0.00010,0.00029,0.00009,0.00108,0.00110,0.00514
1403637137.838397979736328,0.00240,0.00008,0.00016,0.00010,0.00123,0.00077,0.00474
1403637137.888436794281006,0.00287,0.00008,0.00057,0.00010,0.00033,0.00077,0.00471
1403637137.938369035720825,0.00281,0.00011,0.00031,0.00010,0.00080,0.00113,0.00526
1403637137.988378047943115,0.00232,0.00011,0.00009,0.00011,0.00000,0.00119,0.00383
1403637138.038432359695435,0.00266,0.00008,0.00018,0.00010,0.00033,0.00095,0.00430
1403637138.088561773300171,0.00235,0.00010,0.00056,0.00010,0.00055,0.00113,0.00479
1403637138.138537883758545,0.00310,0.00009,0.00056,0.00009,0.00000,0.00089,0.00473
1403637138.188449144363403,0.00308,0.00008,0.00063,0.00007,0.00038,0.00086,0.00510
1403637138.238316297531128,0.00323,0.00008,0.00029,0.00007,0.00101,0.00094,0.00561
1403637138.288151264190674,0.00312,0.00008,0.00160,0.00012,0.00032,0.00079,0.00604
1403637138.338138818740845,0.00287,0.00008,0.00098,0.00010,0.00043,0.00087,0.00533
1403637138.388123989105225,0.00314,0.00010,0.00055,0.00009,0.00033,0.00092,0.00513
1403637138.438138723373413,0.00271,0.00008,0.00045,0.00008,0.00032,0.00091,0.00455
1403637138.488150358200073,0.00253,0.00008,0.00023,0.00007,0.00006,0.00125,0.00422
1403637138.538172006607056,0.00273,0.00009,0.00027,0.00007,0.00042,0.00109,0.00467
1403637138.588178634643555,0.00198,0.00008,0.00010,0.00007,0.00000,0.00096,0.00320
1403637138.638192653656006,0.00184,0.00008,0.00000,0.00008,0.00000,0.00101,0.00301
1403637138.688200950622559,0.00213,0.00011,0.00001,0.00011,0.00032,0.00127,0.00395
1403637138.738211154937744,0.00218,0.00008,0.00010,0.00008,0.00014,0.00089,0.00346
1403637138.788205623626709,0.00209,0.00009,0.00029,0.00006,0.00085,0.00118,0.00457
1403637138.838194370269775,0.00248,0.00008,0.00017,0.00004,0.00055,0.00101,0.00433
1403637138.888195037841797,0.00200,0.00008,0.00014,0.00006,0.00151,0.00110,0.00488
1403637138.938227653503418,0.00288,0.00009,0.00016,0.00008,0.00154,0.00105,0.00581
1403637138.988234281539917,0.00230,0.00008,0.00042,0.00013,0.00142,0.00115,0.00551
1403637139.038265943527222,0.00230,0.00009,0.00050,0.00012,0.00103,0.00093,0.00498
1403637139.088268756866455,0.00280,0.00012,0.00026,0.00016,0.00060,0.00142,0.00536
1403637139.138255357742310,0.00234,0.00009,0.00013,0.00011,0.00065,0.00101,0.00433
1403637139.188254117965698,0.00285,0.00010,0.00022,0.00011,0.00000,0.00109,0.00438
1403637139.238265275955200,0.00277,0.00009,0.00050,0.00006,0.00000,0.00099,0.00442
1403637139.288314580917358,0.00325,0.00009,0.00068,0.00006,0.00034,0.00090,0.00533
1403637139.338308572769165,0.00239,0.00008,0.00035,0.00009,0.00002,0.00091,0.00384
1403637139.388304948806763,0.00260,0.00009,0.00016,0.00009,0.00029,0.00094,0.00416
1403637139.438290834426880,0.00213,0.00008,0.00007,0.00009,0.00061,0.00178,0.00476
1403637139.488291740417480,0.00196,0.00009,0.00010,0.00008,0.00128,0.00115,0.00468
1403637139.538258075714111,0.00185,0.00013,0.00017,0.00008,0.00057,0.00116,0.00395
1403637139.588219881057739,0.00198,0.00010,0.00012,0.00009,0.00024,0.00119,0.00372
1403637139.638197660446167,0.00283,0.00009,0.00007,0.00007,0.00167,0.00105,0.00578
1403637139.688208818435669,0.00217,0.00011,0.00016,0.00014,0.00019,0.00119,0.00397
1403637139.738278865814209,0.00213,0.00010,0.00018,0.00012,0.00134,0.00095,0.00483
1403637139.788328170776367,0.00222,0.00011,0.00049,0.00017,0.00120,0.00124,0.00543
1403637139.838371992111206,0.00203,0.00010,0.00023,0.00028,0.00428,0.00106,0.00799
1403637139.888379812240601,0.00198,0.00011,0.00001,0.00084,0.00071,0.00099,0.00464
1403637139.938359260559082,0.00225,0.00016,0.00081,0.00089,0.00280,0.00115,0.00807
