# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638523.774134397506714,0.00285,0.00007,0.00076,0.00000,0.00000,0.00104,0.00472
1403638523.824295282363892,0.00431,0.00008,0.00071,0.00000,0.00000,0.00116,0.00626
1403638523.873107910156250,0.00323,0.00008,0.00077,0.00000,0.00000,0.00098,0.00506
1403638523.923062086105347,0.00286,0.00008,0.00018,0.00000,0.00000,0.00101,0.00414
1403638523.976028203964233,0.00291,0.00008,0.00021,0.00000,0.00000,0.00098,0.00419
1403638524.026028156280518,0.00284,0.00010,0.00007,0.00000,0.00000,0.00113,0.00414
1403638524.076028347015381,0.00263,0.00010,0.00004,0.00000,0.00000,0.00126,0.00402
1403638524.126028299331665,0.00223,0.00009,0.00009,0.00000,0.00000,0.00150,0.00391
1403638524.174841880798340,0.00259,0.00010,0.00075,0.00000,0.00000,0.00102,0.00447
1403638524.224792718887329,0.00308,0.00009,0.00049,0.00000,0.00000,0.00130,0.00496
1403638524.276160717010498,0.00304,0.00009,0.00049,0.00000,0.00000,0.00109,0.00471
1403638524.326991796493530,0.00276,0.00009,0.00220,0.00000,0.00000,0.00104,0.00609
1403638524.377070665359497,0.00270,0.00008,0.00086,0.00000,0.00000,0.00101,0.00465
1403638524.427055120468140,0.00329,0.00008,0.00151,0.00000,0.00000,0.00101,0.00590
1403638524.478542804718018,0.00288,0.00008,0.00165,0.00000,0.00000,0.00101,0.00562
1403638524.528664112091064,0.00268,0.00011,0.00018,0.00000,0.00002,0.00111,0.00410
1403638524.578655958175659,0.00268,0.00010,0.00013,0.00000,0.00000,0.00119,0.00410
1403638524.628052473068237,0.00266,0.00008,0.00021,0.00000,0.00023,0.00102,0.00420
1403638524.677708387374878,0.00242,0.00008,0.00008,0.00004,0.00000,0.00102,0.00364
1403638524.727427482604980,0.00205,0.00007,0.00017,0.00002,0.00002,0.00140,0.00373
1403638524.777598619461060,0.00208,0.00011,0.00006,0.00002,0.00080,0.00127,0.00434
1403638524.827760457992554,0.00191,0.00008,0.00007,0.00007,0.00033,0.00108,0.00354
1403638524.878034353256226,0.00194,0.00008,0.00010,0.00009,0.00000,0.00116,0.00337
1403638524.927847862243652,0.00246,0.00009,0.00005,0.00010,0.00159,0.00108,0.00538
1403638524.977448940277100,0.00200,0.00011,0.00028,0.00020,0.00207,0.00116,0.00583
1403638525.027422904968262,0.00219,0.00011,0.00001,0.00045,0.00372,0.00124,0.00771
1403638525.077510356903076,0.00192,0.00010,0.00003,0.00100,0.00065,0.00109,0.00480
1403638525.127687215805054,0.00184,0.00009,0.00004,0.00107,0.00124,0.00109,0.00537
1403638525.177926301956177,0.00227,0.00010,0.00006,0.00133,0.00007,0.00117,0.00500
1403638525.228125095367432,0.00205,0.00009,0.00001,0.00134,0.00020,0.00099,0.00468
1403638525.278353691101074,0.00192,0.00009,0.00023,0.00131,0.00000,0.00096,0.00451
1403638525.328428030014038,0.00213,0.00008,0.00037,0.00131,0.00002,0.00101,0.00493
1403638525.378495931625366,0.00245,0.00011,0.00000,0.00132,0.00003,0.00097,0.00487
1403638525.428421497344971,0.00243,0.00008,0.00016,0.00127,0.00010,0.00100,0.00505
1403638525.478348493576050,0.00264,0.00011,0.00018,0.00110,0.00018,0.00102,0.00522
1403638525.528370380401611,0.00209,0.00008,0.00010,0.00102,0.00000,0.00102,0.00431
1403638525.628841161727905,0.00235,0.00016,0.00030,0.00030,0.00113,0.00097,0.00522
1403638525.678476572036743,0.00340,0.00014,0.00055,0.00067,0.00140,0.00108,0.00724
1403638525.728208541870117,0.00283,0.00012,0.00015,0.00082,0.00036,0.00111,0.00539
1403638525.778048515319824,0.00243,0.00010,0.00012,0.00088,0.00009,0.00103,0.00464
1403638525.828045368194580,0.00203,0.00010,0.00021,0.00088,0.00000,0.00093,0.00415
1403638525.878112077713013,0.00228,0.00013,0.00006,0.00083,0.00000,0.00107,0.00439
1403638525.928227186203003,0.00261,0.00012,0.00008,0.00072,0.00000,0.00117,0.00470
1403638525.978353023529053,0.00211,0.00008,0.00014,0.00069,0.00024,0.00095,0.00422
1403638526.028452157974243,0.00213,0.00008,0.00003,0.00070,0.00006,0.00110,0.00411
1403638526.078804016113281,0.00209,0.00009,0.00010,0.00076,0.00041,0.00097,0.00442
1403638526.128773689270020,0.00195,0.00010,0.00012,0.00071,0.00007,0.00097,0.00392
1403638526.178763866424561,0.00245,0.00009,0.00011,0.00063,0.00000,0.00100,0.00429
1403638526.228776216506958,0.00209,0.00010,0.00011,0.00061,0.00124,0.00102,0.00518
1403638526.278800487518311,0.00253,0.00010,0.00015,0.00068,0.00071,0.00100,0.00517
1403638526.328829765319824,0.00229,0.00009,0.00017,0.00066,0.00025,0.00099,0.00445
1403638526.378855943679810,0.00268,0.00013,0.00022,0.00068,0.00000,0.00116,0.00487
1403638526.428920984268188,0.00263,0.00010,0.00029,0.00064,0.00053,0.00121,0.00541
1403638526.478945970535278,0.00251,0.00010,0.00022,0.00065,0.00014,0.00105,0.00467
1403638526.528967618942261,0.00249,0.00011,0.00037,0.00065,0.00000,0.00096,0.00458
1403638526.578991174697876,0.00253,0.00009,0.00023,0.00057,0.00048,0.00102,0.00492
1403638526.628995180130005,0.00246,0.00009,0.00024,0.00123,0.00024,0.00097,0.00523
1403638526.678992271423340,0.00212,0.00009,0.00027,0.00105,0.00005,0.00090,0.00449
1403638526.728985548019409,0.00247,0.00010,0.00016,0.00053,0.00100,0.00096,0.00523
1403638526.779006481170654,0.00240,0.00009,0.00037,0.00050,0.00001,0.00094,0.00431
1403638526.829050302505493,0.00248,0.00009,0.00032,0.00047,0.00128,0.00098,0.00563
1403638526.879050254821777,0.00222,0.00008,0.00007,0.00059,0.00274,0.00094,0.00665
1403638526.929032087326050,0.00249,0.00011,0.00005,0.00099,0.00060,0.00092,0.00516
1403638526.978977680206299,0.00243,0.00008,0.00037,0.00104,0.00000,0.00102,0.00493
1403638527.028991460800171,0.00233,0.00010,0.00018,0.00101,0.00004,0.00093,0.00460
1403638527.079009294509888,0.00203,0.00010,0.00019,0.00100,0.00080,0.00098,0.00510
1403638527.129122257232666,0.00246,0.00010,0.00007,0.00106,0.00162,0.00092,0.00623
1403638527.179167270660400,0.00205,0.00011,0.00023,0.00128,0.00123,0.00094,0.00585
1403638527.229206562042236,0.00236,0.00012,0.00009,0.00147,0.00000,0.00101,0.00505
1403638527.279220819473267,0.00215,0.00011,0.00029,0.00138,0.00032,0.00099,0.00523
1403638527.329209566116333,0.00242,0.00011,0.00016,0.00140,0.00079,0.00101,0.00589
1403638527.379185199737549,0.00193,0.00011,0.00013,0.00147,0.00126,0.00098,0.00588
1403638527.429151296615601,0.00192,0.00009,0.00009,0.00147,0.00002,0.00097,0.00456
1403638527.479107141494751,0.00232,0.00011,0.00008,0.00152,0.00164,0.00097,0.00665
1403638527.529062271118164,0.00203,0.00011,0.00002,0.00156,0.00008,0.00096,0.00476
1403638527.579007387161255,0.00201,0.00012,0.00003,0.00167,0.00013,0.00097,0.00492
1403638527.628946781158447,0.00202,0.00009,0.00001,0.00158,0.00005,0.00102,0.00476
1403638527.678863286972046,0.00193,0.00009,0.00023,0.00151,0.00200,0.00133,0.00708
1403638527.728790283203125,0.00212,0.00010,0.00001,0.00181,0.00003,0.00124,0.00531
1403638527.778549671173096,0.00199,0.00009,0.00018,0.00179,0.00053,0.00102,0.00560
1403638527.828516483306885,0.00196,0.00012,0.00040,0.00175,0.00000,0.00099,0.00521
1403638527.878492116928101,0.00199,0.00014,0.00026,0.00176,0.00060,0.00111,0.00585
1403638527.928501844406128,0.00227,0.00015,0.00016,0.00177,0.00038,0.00124,0.00597
1403638527.978508472442627,0.00227,0.00013,0.00030,0.00183,0.00009,0.00099,0.00562
1403638528.028524160385132,0.00203,0.00012,0.00036,0.00178,0.00088,0.00099,0.00616
1403638528.078524827957153,0.00204,0.00012,0.00014,0.00179,0.00025,0.00092,0.00526
1403638528.128523588180542,0.00229,0.00012,0.00013,0.00154,0.00009,0.00103,0.00519
1403638528.178519964218140,0.00207,0.00011,0.00007,0.00160,0.00000,0.00102,0.00487
1403638528.228520393371582,0.00208,0.00012,0.00002,0.00157,0.00004,0.00097,0.00481
