# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715528.859530210494995,0.00220,0.00007,0.00059,0.00000,0.00000,0.00109,0.00395
1403715528.911250114440918,0.00297,0.00007,0.00143,0.00000,0.00046,0.00103,0.00595
1403715528.961242198944092,0.00264,0.00008,0.00018,0.00000,0.00000,0.00088,0.00378
1403715529.011242151260376,0.00257,0.00009,0.00013,0.00000,0.00000,0.00104,0.00384
1403715529.060601234436035,0.00260,0.00009,0.00009,0.00000,0.00000,0.00115,0.00392
1403715529.110778808593750,0.00216,0.00008,0.00018,0.00000,0.00000,0.00099,0.00341
1403715529.163186073303223,0.00236,0.00010,0.00043,0.00000,0.00000,0.00112,0.00401
1403715529.213186025619507,0.00261,0.00010,0.00022,0.00000,0.00000,0.00117,0.00410
1403715529.262040615081787,0.00307,0.00009,0.00047,0.00000,0.00073,0.00097,0.00534
1403715529.311616182327271,0.00250,0.00009,0.00040,0.00004,0.00065,0.00111,0.00479
1403715529.363026142120361,0.00257,0.00010,0.00062,0.00007,0.00022,0.00117,0.00475
1403715529.413239240646362,0.00287,0.00009,0.00042,0.00007,0.00000,0.00101,0.00446
1403715529.463933944702148,0.00191,0.00009,0.00063,0.00007,0.00050,0.00092,0.00412
1403715529.513571977615356,0.00299,0.00008,0.00065,0.00009,0.00228,0.00099,0.00708
1403715529.563554286956787,0.00266,0.00008,0.00015,0.00024,0.00000,0.00100,0.00412
1403715529.612761974334717,0.00309,0.00009,0.00036,0.00022,0.00185,0.00124,0.00687
1403715529.662447214126587,0.00223,0.00011,0.00021,0.00043,0.00069,0.00118,0.00485
1403715529.712305784225464,0.00277,0.00009,0.00012,0.00046,0.00093,0.00099,0.00537
1403715529.762144565582275,0.00215,0.00008,0.00020,0.00063,0.00369,0.00098,0.00773
1403715529.812284946441650,0.00336,0.00015,0.00038,0.00132,0.00423,0.00116,0.01060
1403715529.862244844436646,0.00297,0.00015,0.00005,0.00210,0.00109,0.00136,0.00772
1403715529.912537097930908,0.00235,0.00014,0.00040,0.00184,0.00158,0.00110,0.00741
1403715529.962652444839478,0.00234,0.00015,0.00199,0.00203,0.00448,0.00090,0.01190
1403715530.012810468673706,0.00264,0.00015,0.00067,0.00266,0.00000,0.00133,0.00745
1403715530.062829256057739,0.00198,0.00016,0.00378,0.00263,0.00146,0.00118,0.01120
1403715530.112957477569580,0.00237,0.00018,0.00219,0.00281,0.00000,0.00115,0.00869
1403715530.163105487823486,0.00199,0.00011,0.00164,0.00271,0.00197,0.00096,0.00937
1403715530.213215827941895,0.00254,0.00014,0.00018,0.00325,0.00019,0.00109,0.00739
1403715530.263296127319336,0.00204,0.00012,0.00017,0.00319,0.00012,0.00104,0.00668
1403715530.313369035720825,0.00212,0.00011,0.00033,0.00293,0.00000,0.00103,0.00652
1403715530.363415956497192,0.00218,0.00009,0.00200,0.00278,0.00074,0.00117,0.00898
1403715530.413468599319458,0.00234,0.00019,0.00230,0.00283,0.00098,0.00121,0.00985
1403715530.463539600372314,0.00225,0.00017,0.00030,0.00315,0.00026,0.00123,0.00735
1403715530.513587951660156,0.00223,0.00016,0.00073,0.00304,0.00042,0.00170,0.00827
1403715530.563370943069458,0.00312,0.00019,0.00610,0.00287,0.00000,0.00089,0.01318
1403715530.613338232040405,0.00236,0.00015,0.00013,0.00256,0.00000,0.00112,0.00632
1403715530.663187742233276,0.00199,0.00013,0.00103,0.00248,0.00431,0.00090,0.01084
1403715530.713059186935425,0.00204,0.00016,0.00252,0.00298,0.00000,0.00092,0.00861
1403715530.762970447540283,0.00202,0.00011,0.00553,0.00268,0.00000,0.00088,0.01122
1403715530.812965631484985,0.00260,0.00015,0.00023,0.00278,0.00041,0.00095,0.00711
1403715530.862935543060303,0.00208,0.00010,0.00041,0.00267,0.00033,0.00094,0.00654
1403715530.912861108779907,0.00223,0.00011,0.00082,0.00277,0.00000,0.00094,0.00688
1403715530.962815999984741,0.00241,0.00013,0.00018,0.00245,0.00078,0.00102,0.00697
1403715531.012780666351318,0.00219,0.00013,0.00001,0.00295,0.00114,0.00112,0.00754
1403715531.062703847885132,0.00228,0.00013,0.00026,0.00303,0.00022,0.00122,0.00714
1403715531.112598657608032,0.00223,0.00018,0.00035,0.00299,0.00000,0.00119,0.00694
1403715531.162535429000854,0.00238,0.00013,0.00204,0.00303,0.00278,0.00115,0.01151
1403715531.212500572204590,0.00218,0.00009,0.00036,0.00310,0.00010,0.00095,0.00678
