timestamp,px,py,pz,qx,qy,qz,qw
1598870185.54220,0.000344,-0.003505,0.002459,-0.017335,0.000573,0.999846,0.002754
1598870185.57542,-0.001440,-0.013794,-0.001722,-0.017433,0.000384,0.999818,0.007700
1598870185.61167,-0.001795,-0.015927,-0.002077,-0.017492,0.000231,0.999769,0.012497
1598870185.64266,-0.002139,-0.011221,-0.002063,-0.017503,0.000991,0.999722,0.015792
1598870185.70450,-0.001931,-0.010525,-0.001090,-0.017214,0.001037,0.999749,0.014271
1598870185.73842,-0.001860,-0.010543,-0.001186,-0.017225,0.000984,0.999739,0.015003
1598870185.77376,-0.001929,-0.010642,-0.001518,-0.017424,0.001172,0.999703,0.016969
1598870185.83797,-0.001764,-0.011086,-0.001482,-0.017353,0.001445,0.999574,0.023410
1598870185.87282,-0.001985,-0.012133,-0.001449,-0.017444,0.001256,0.999549,0.024398
1598870185.90473,-0.003296,0.012521,-0.003055,-0.016908,0.001162,0.999690,0.018226
1598870185.93750,-0.003362,0.012246,-0.003115,-0.016930,0.001067,0.999690,0.018218
1598870185.97175,-0.003380,0.011737,-0.002936,-0.017034,0.001006,0.999687,0.018314
1598870186.00931,-0.003360,0.011135,-0.002847,-0.017050,0.000859,0.999681,0.018616
1598870186.07314,-0.003797,0.012201,-0.003087,-0.016873,0.001168,0.999622,0.021669
1598870186.13698,-0.003678,0.012511,-0.003359,-0.016845,0.001215,0.999580,0.023548
1598870186.17022,-0.003765,0.012055,-0.003191,-0.016863,0.001144,0.999581,0.023515
1598870186.20377,-0.003705,0.011374,-0.003018,-0.016810,0.001067,0.999590,0.023174
1598870186.26903,-0.003615,0.009288,-0.002707,-0.016756,0.000900,0.999601,0.022722
1598870186.30222,-0.003786,0.007970,-0.002689,-0.016746,0.000904,0.999593,0.023070
1598870186.33593,-0.004029,0.006996,-0.002713,-0.016778,0.000954,0.999586,0.023341
1598870186.36970,-0.004244,0.006305,-0.002660,-0.016837,0.000965,0.999581,0.023526
1598870186.43551,-0.004366,0.005517,-0.002721,-0.016845,0.000939,0.999576,0.023726
1598870186.46891,-0.004613,0.004907,-0.002702,-0.016885,0.000914,0.999572,0.023886
1598870186.50227,-0.004753,0.004487,-0.002737,-0.016879,0.000930,0.999569,0.024003
1598870186.53617,-0.004882,0.004157,-0.002748,-0.016878,0.000924,0.999567,0.024097
1598870186.56892,-0.005032,0.003857,-0.002645,-0.016909,0.000920,0.999564,0.024167
1598870186.60908,-0.005112,0.003566,-0.002627,-0.016898,0.000917,0.999563,0.024244
1598870186.66813,-0.005202,0.003177,-0.002513,-0.016919,0.000901,0.999561,0.024319
1598870186.70212,-0.005192,0.002932,-0.002491,-0.016895,0.000917,0.999559,0.024390
1598870186.73576,-0.005223,0.002719,-0.002480,-0.016928,0.000961,0.999557,0.024444
1598870186.77127,-0.005341,0.002480,-0.002457,-0.017041,0.001096,0.999555,0.024478
1598870186.83509,-0.005345,0.002255,-0.002438,-0.017060,0.001178,0.999552,0.024551
1598870186.86921,-0.005378,0.002206,-0.002244,-0.017030,0.001211,0.999551,0.024641
1598870186.93440,-0.005299,0.002088,-0.002158,-0.016991,0.001103,0.999553,0.024571
1598870186.96790,-0.005220,0.001832,-0.002059,-0.016922,0.001025,0.999553,0.024614
1598870187.00208,-0.005264,0.001607,-0.002081,-0.016911,0.001003,0.999552,0.024664
1598870187.06837,-0.005632,0.001391,-0.002209,-0.017124,0.001114,0.999546,0.024764
1598870187.10109,-0.005785,0.001219,-0.002168,-0.017206,0.001119,0.999543,0.024845
1598870187.13424,-0.005900,0.001072,-0.002150,-0.017276,0.001142,0.999540,0.024881
1598870187.17581,-0.005992,0.000775,-0.002054,-0.017332,0.001144,0.999539,0.024888
1598870187.23417,-0.006039,0.000586,-0.002078,-0.017410,0.001270,0.999536,0.024978
1598870187.26707,-0.005956,0.000301,-0.001859,-0.017441,0.001267,0.999534,0.025005
1598870187.30184,-0.005888,0.000073,-0.001757,-0.017446,0.001294,0.999533,0.025073
1598870187.36699,-0.006094,-0.000215,-0.001752,-0.017644,0.001419,0.999528,0.025118
1598870187.40013,-0.006028,-0.000482,-0.001551,-0.017697,0.001409,0.999525,0.025177
1598870187.43391,-0.005913,-0.000749,-0.001287,-0.017703,0.001369,0.999523,0.025263
1598870187.46752,-0.005776,-0.001150,-0.000805,-0.017663,0.001296,0.999522,0.025326
1598870187.50157,-0.005726,-0.001511,-0.000649,-0.017619,0.001292,0.999521,0.025403
1598870187.56747,-0.005745,-0.001600,-0.000526,-0.017652,0.001462,0.999519,0.025446
1598870187.59996,-0.005744,-0.001666,-0.000662,-0.017643,0.001501,0.999518,0.025512
