# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1598870185.542196989059448,0.00173,0.00007,0.00001,0.00000,0.00001,0.00087,0.00268
1598870185.575421571731567,0.00225,0.00004,0.00028,0.00000,0.00178,0.00067,0.00503
1598870185.611669540405273,0.00181,0.00005,0.00000,0.00045,0.00000,0.00061,0.00293
1598870185.642658710479736,0.00188,0.00004,0.00000,0.00047,0.00000,0.00071,0.00311
1598870185.704500675201416,0.00177,0.00007,0.00003,0.00046,0.00000,0.00071,0.00303
1598870185.738416194915771,0.00163,0.00005,0.00005,0.00049,0.00000,0.00074,0.00297
1598870185.773758649826050,0.00152,0.00005,0.00000,0.00049,0.00000,0.00076,0.00282
1598870185.837969303131104,0.00172,0.00008,0.00004,0.00053,0.00000,0.00076,0.00313
1598870185.872818231582642,0.00185,0.00006,0.00000,0.00052,0.00000,0.00081,0.00323
1598870185.904728889465332,0.00160,0.00009,0.00005,0.00055,0.00069,0.00092,0.00390
1598870185.937501430511475,0.00171,0.00006,0.00000,0.00062,0.00000,0.00109,0.00348
1598870185.971750736236572,0.00183,0.00006,0.00000,0.00059,0.00012,0.00144,0.00405
1598870186.009314060211182,0.00231,0.00005,0.00000,0.00059,0.00000,0.00090,0.00387
1598870186.073142051696777,0.00191,0.00007,0.00001,0.00062,0.00169,0.00109,0.00540
1598870186.136981248855591,0.00242,0.00011,0.00001,0.00113,0.00040,0.00077,0.00483
1598870186.170216083526611,0.00200,0.00005,0.00000,0.00099,0.00047,0.00095,0.00447
1598870186.203770637512207,0.00215,0.00005,0.00000,0.00114,0.00043,0.00077,0.00455
1598870186.269027709960938,0.00199,0.00007,0.00000,0.00126,0.00003,0.00095,0.00430
1598870186.302216291427612,0.00222,0.00005,0.00000,0.00125,0.00000,0.00078,0.00430
1598870186.335926055908203,0.00193,0.00006,0.00000,0.00127,0.00057,0.00096,0.00479
1598870186.369703054428101,0.00212,0.00005,0.00000,0.00134,0.00003,0.00075,0.00430
1598870186.435510873794556,0.00208,0.00007,0.00001,0.00135,0.00014,0.00093,0.00458
1598870186.468911170959473,0.00213,0.00010,0.00001,0.00139,0.00000,0.00094,0.00457
1598870186.502272129058838,0.00200,0.00007,0.00000,0.00138,0.00012,0.00124,0.00481
1598870186.536167621612549,0.00213,0.00006,0.00000,0.00135,0.00000,0.00081,0.00435
1598870186.568917751312256,0.00190,0.00005,0.00000,0.00136,0.00052,0.00095,0.00478
1598870186.609081029891968,0.00207,0.00005,0.00000,0.00137,0.00000,0.00079,0.00429
1598870186.668126821517944,0.00200,0.00010,0.00001,0.00143,0.00006,0.00096,0.00457
1598870186.702118873596191,0.00221,0.00005,0.00000,0.00135,0.00000,0.00077,0.00439
1598870186.735760927200317,0.00189,0.00004,0.00000,0.00136,0.00003,0.00105,0.00437
1598870186.771265506744385,0.00210,0.00005,0.00000,0.00135,0.00000,0.00080,0.00430
1598870186.835088491439819,0.00199,0.00007,0.00003,0.00135,0.00014,0.00097,0.00456
1598870186.869207143783569,0.00218,0.00005,0.00004,0.00134,0.00002,0.00076,0.00440
1598870186.934396505355835,0.00196,0.00007,0.00000,0.00128,0.00012,0.00095,0.00439
1598870186.967899560928345,0.00229,0.00005,0.00000,0.00127,0.00000,0.00084,0.00446
1598870187.002079486846924,0.00183,0.00005,0.00000,0.00128,0.00010,0.00096,0.00423
1598870187.068370580673218,0.00224,0.00006,0.00002,0.00128,0.00000,0.00077,0.00438
1598870187.101086854934692,0.00184,0.00006,0.00001,0.00129,0.00056,0.00094,0.00469
1598870187.134238958358765,0.00214,0.00005,0.00000,0.00127,0.00000,0.00079,0.00425
1598870187.175813674926758,0.00190,0.00008,0.00001,0.00131,0.00007,0.00114,0.00451
1598870187.234173536300659,0.00231,0.00008,0.00000,0.00133,0.00003,0.00077,0.00453
1598870187.267068624496460,0.00197,0.00006,0.00000,0.00132,0.00005,0.00118,0.00458
1598870187.301843881607056,0.00228,0.00005,0.00000,0.00130,0.00000,0.00078,0.00442
1598870187.366994380950928,0.00192,0.00007,0.00000,0.00128,0.00014,0.00093,0.00433
1598870187.400127172470093,0.00209,0.00005,0.00000,0.00128,0.00003,0.00079,0.00424
1598870187.433909893035889,0.00179,0.00006,0.00000,0.00147,0.00011,0.00125,0.00468
1598870187.467515230178833,0.00225,0.00009,0.00000,0.00130,0.00000,0.00132,0.00496
1598870187.501573324203491,0.00199,0.00006,0.00000,0.00130,0.00003,0.00110,0.00449
1598870187.567465543746948,0.00217,0.00007,0.00000,0.00130,0.00000,0.00081,0.00434
1598870187.599957466125488,0.00191,0.00005,0.00001,0.00128,0.00049,0.00097,0.00471
1598870187.665666341781616,0.00224,0.00007,0.00000,0.00128,0.00000,0.00074,0.00434
1598870187.698139905929565,0.00203,0.00005,0.00000,0.00128,0.00006,0.00139,0.00482
1598870187.732713699340820,0.00224,0.00009,0.00000,0.00126,0.00003,0.00093,0.00456
1598870187.773336172103882,0.00180,0.00007,0.00000,0.00128,0.00004,0.00096,0.00415
1598870187.832265853881836,0.00218,0.00007,0.00000,0.00125,0.00000,0.00077,0.00427
1598870187.866388797760010,0.00218,0.00007,0.00001,0.00143,0.00015,0.00130,0.00514
1598870187.899158000946045,0.00229,0.00009,0.00001,0.00131,0.00003,0.00101,0.00473
1598870187.933412313461304,0.00189,0.00007,0.00001,0.00130,0.00011,0.00119,0.00456
1598870187.999118328094482,0.00299,0.00011,0.00008,0.00108,0.00000,0.00095,0.00521
1598870188.032102346420288,0.00211,0.00005,0.00009,0.00101,0.00002,0.00105,0.00434
1598870188.067254543304443,0.00194,0.00010,0.00008,0.00096,0.00002,0.00093,0.00403
1598870188.101139068603516,0.00168,0.00007,0.00007,0.00091,0.00042,0.00098,0.00412
