# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1598871597.460292339324951,0.00215,0.00010,0.00005,0.00000,0.00000,0.00087,0.00317
1598871597.494220972061157,0.00213,0.00006,0.00146,0.00000,0.00052,0.00074,0.00491
1598871597.528257131576538,0.00221,0.00007,0.00000,0.00000,0.00000,0.00104,0.00333
1598871597.561973810195923,0.00183,0.00006,0.00000,0.00000,0.00000,0.00093,0.00283
1598871597.628316402435303,0.00237,0.00008,0.00000,0.00000,0.00000,0.00134,0.00379
1598871597.661794424057007,0.00168,0.00005,0.00000,0.00000,0.00000,0.00091,0.00265
1598871597.695763349533081,0.00213,0.00005,0.00000,0.00000,0.00000,0.00120,0.00338
1598871597.728284120559692,0.00214,0.00005,0.00000,0.00000,0.00000,0.00084,0.00304
1598871597.762374401092529,0.00194,0.00005,0.00004,0.00000,0.00008,0.00105,0.00317
1598871597.795137405395508,0.00235,0.00005,0.00000,0.00000,0.00009,0.00079,0.00329
1598871597.827777147293091,0.00236,0.00005,0.00000,0.00000,0.00014,0.00112,0.00368
1598871597.861881494522095,0.00198,0.00005,0.00000,0.00000,0.00000,0.00079,0.00282
1598871597.901814699172974,0.00236,0.00007,0.00000,0.00000,0.00000,0.00104,0.00348
1598871597.964048862457275,0.00238,0.00006,0.00043,0.00000,0.00631,0.00075,0.00993
1598871598.029607534408569,0.00239,0.00011,0.00001,0.00090,0.00000,0.00106,0.00447
1598871598.063236474990845,0.00238,0.00006,0.00000,0.00065,0.00000,0.00078,0.00388
1598871598.097257375717163,0.00254,0.00010,0.00005,0.00067,0.00000,0.00136,0.00472
1598871598.163474798202515,0.00266,0.00008,0.00000,0.00066,0.00000,0.00097,0.00438
1598871598.228159189224243,0.00250,0.00007,0.00000,0.00075,0.00000,0.00143,0.00476
1598871598.261850357055664,0.00204,0.00008,0.00000,0.00065,0.00000,0.00096,0.00374
1598871598.295445919036865,0.00248,0.00010,0.00001,0.00068,0.00013,0.00093,0.00433
1598871598.329479217529297,0.00234,0.00007,0.00001,0.00062,0.00009,0.00086,0.00398
1598871598.361828804016113,0.00201,0.00005,0.00000,0.00060,0.00012,0.00112,0.00392
1598871598.395888328552246,0.00245,0.00010,0.00001,0.00065,0.00000,0.00098,0.00418
1598871598.430500507354736,0.00161,0.00006,0.00000,0.00058,0.00004,0.00113,0.00343
1598871598.496022939682007,0.00250,0.00010,0.00046,0.00061,0.00050,0.00078,0.00494
1598871598.530155658721924,0.00286,0.00007,0.00005,0.00061,0.00003,0.00135,0.00498
1598871598.596749782562256,0.00285,0.00008,0.00008,0.00054,0.00000,0.00078,0.00434
1598871598.629606962203979,0.00239,0.00009,0.00005,0.00055,0.00012,0.00113,0.00434
1598871598.663307905197144,0.00223,0.00006,0.00001,0.00050,0.00000,0.00078,0.00359
1598871598.695759534835815,0.00228,0.00007,0.00002,0.00047,0.00000,0.00118,0.00402
1598871598.729292392730713,0.00234,0.00005,0.00000,0.00046,0.00000,0.00073,0.00359
1598871598.761642932891846,0.00220,0.00010,0.00005,0.00051,0.00027,0.00134,0.00446
1598871598.795934200286865,0.00274,0.00009,0.00001,0.00053,0.00030,0.00085,0.00452
1598871598.829385280609131,0.00261,0.00008,0.00001,0.00058,0.00013,0.00126,0.00467
1598871598.899093389511108,0.00235,0.00011,0.00014,0.00056,0.00024,0.00111,0.00451
1598871598.932463169097900,0.00221,0.00009,0.00008,0.00062,0.00004,0.00123,0.00427
1598871598.966581583023071,0.00218,0.00008,0.00071,0.00051,0.00052,0.00077,0.00476
1598871599.000187158584595,0.00205,0.00005,0.00003,0.00053,0.00005,0.00104,0.00374
1598871599.034083604812622,0.00224,0.00010,0.00002,0.00058,0.00004,0.00106,0.00404
1598871599.067226171493530,0.00189,0.00008,0.00010,0.00055,0.00034,0.00130,0.00426
1598871599.103153705596924,0.00191,0.00005,0.00009,0.00058,0.00000,0.00072,0.00336
1598871599.168758630752563,0.00229,0.00009,0.00004,0.00062,0.00000,0.00119,0.00422
1598871599.202536344528198,0.00255,0.00008,0.00009,0.00062,0.00000,0.00096,0.00430
1598871599.235079050064087,0.00224,0.00009,0.00019,0.00060,0.00045,0.00131,0.00489
1598871599.267135143280029,0.00232,0.00006,0.00005,0.00070,0.00187,0.00073,0.00572
1598871599.300147533416748,0.00244,0.00007,0.00001,0.00104,0.00005,0.00116,0.00477
1598871599.332952022552490,0.00571,0.00011,0.00005,0.00109,0.00100,0.00096,0.00892
1598871599.366341114044189,0.00244,0.00009,0.00005,0.00122,0.00026,0.00171,0.00577
1598871599.398730039596558,0.00233,0.00007,0.00126,0.00104,0.00057,0.00084,0.00611
1598871599.432861089706421,0.00241,0.00006,0.00019,0.00113,0.00005,0.00077,0.00461
1598871599.465862274169922,0.00186,0.00006,0.00007,0.00122,0.00002,0.00076,0.00399
