timestamp,px,py,pz,qx,qy,qz,qw
1403636582.01187,-0.005826,-0.004385,-0.162590,0.824231,-0.015944,0.566019,0.003416
1403636582.06281,-0.016721,-0.005902,-0.245378,0.829665,-0.016215,0.558007,0.004740
1403636582.11291,-0.015973,-0.002231,-0.270686,0.834939,-0.015731,0.550099,0.004547
1403636582.16270,-0.016130,-0.000613,-0.294479,0.838904,-0.015263,0.544059,0.002550
1403636582.21251,-0.015569,0.001210,-0.310938,0.842063,-0.013852,0.539200,0.001384
1403636582.26237,-0.012878,0.002562,-0.318677,0.844009,-0.013155,0.536168,0.000583
1403636582.31254,-0.009106,0.004108,-0.316770,-0.844688,0.012326,-0.535116,0.000707
1403636582.36348,-0.017663,0.003917,-0.283793,-0.846103,0.011078,-0.532904,0.000129
1403636582.41399,-0.015387,0.006940,-0.232527,0.846473,-0.009692,0.532342,0.001051
1403636582.46391,-0.010996,0.009183,-0.200416,0.842659,-0.009938,0.538355,0.001055
1403636582.51491,-0.005332,0.011201,-0.172370,0.839150,-0.008982,0.543813,0.003772
1403636582.56533,-0.001461,0.011810,-0.136466,0.836462,-0.010037,0.547908,0.005162
1403636582.61646,-0.000717,0.012515,-0.094922,0.832172,-0.011039,0.554365,0.006936
1403636582.66420,-0.004109,0.011379,-0.042387,0.829298,-0.014358,0.558580,0.006903
1403636582.71474,-0.005406,0.009528,-0.003870,0.826574,-0.017071,0.562546,0.005156
1403636582.76473,-0.002366,0.007320,0.031914,0.824569,-0.019942,0.565381,0.005753
1403636582.81472,-0.000122,0.004299,0.067075,0.821947,-0.024146,0.569012,0.006723
1403636582.86467,0.002252,0.000910,0.102714,0.818038,-0.028671,0.574375,0.009209
1403636582.91462,0.002011,-0.001556,0.136514,0.813777,-0.032253,0.580180,0.010911
1403636582.96461,0.002079,-0.003815,0.166228,0.809093,-0.032762,0.586616,0.013271
1403636583.01461,0.001238,-0.003626,0.185982,0.807551,-0.031817,0.588678,0.017519
1403636583.06462,0.002476,-0.005609,0.201775,0.804964,-0.031636,0.592238,0.016935
1403636583.11483,0.004581,-0.008896,0.206374,0.805928,-0.031574,0.590916,0.017337
1403636583.16495,0.006367,-0.008445,0.206076,0.810950,-0.030301,0.583975,0.020359
1403636583.21516,0.007684,-0.006758,0.186433,0.812571,-0.025596,0.581693,0.026557
1403636583.26499,0.010753,-0.007065,0.162841,0.814151,-0.026104,0.579550,0.024477
1403636583.31496,0.011299,-0.007696,0.137763,0.814475,-0.025822,0.579153,0.023347
1403636583.36494,0.010949,-0.008823,0.108719,0.814964,-0.024954,0.578520,0.022899
1403636583.41493,0.009010,-0.010919,0.077495,0.815339,-0.024125,0.578110,0.020729
1403636583.46479,0.006683,-0.013415,0.042749,0.816820,-0.021400,0.576167,0.019463
1403636583.51492,0.005414,-0.014731,0.006691,0.817058,-0.020572,0.575909,0.017936
