# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636582.011872053146362,0.00240,0.00008,0.00094,0.00000,0.00000,0.00103,0.00446
1403636582.062813997268677,0.00341,0.00008,0.00269,0.00000,0.00000,0.00085,0.00703
1403636582.112906932830811,0.00220,0.00007,0.00144,0.00000,0.00000,0.00082,0.00454
1403636582.162701606750488,0.00271,0.00008,0.00023,0.00000,0.00004,0.00092,0.00399
1403636582.212509155273438,0.00228,0.00009,0.00017,0.00000,0.00000,0.00112,0.00367
1403636582.262373924255371,0.00269,0.00010,0.00016,0.00000,0.00000,0.00117,0.00413
1403636582.312539100646973,0.00235,0.00008,0.00020,0.00000,0.00000,0.00098,0.00362
1403636582.363483667373657,0.00231,0.00010,0.00024,0.00000,0.00000,0.00119,0.00385
1403636582.413987874984741,0.00231,0.00008,0.00073,0.00000,0.00000,0.00095,0.00408
1403636582.463906526565552,0.00251,0.00010,0.00040,0.00000,0.00000,0.00116,0.00418
1403636582.514906406402588,0.00239,0.00012,0.00108,0.00000,0.00000,0.00097,0.00456
1403636582.565330266952515,0.00201,0.00013,0.00061,0.00000,0.00000,0.00098,0.00373
1403636582.616456985473633,0.00253,0.00008,0.00136,0.00000,0.00000,0.00098,0.00496
1403636582.664199829101562,0.00247,0.00007,0.00664,0.00000,0.00000,0.00090,0.01008
1403636582.714742660522461,0.00261,0.00016,0.00226,0.00000,0.00000,0.00146,0.00649
1403636582.764732599258423,0.00255,0.00014,0.00044,0.00000,0.00000,0.00115,0.00428
1403636582.814716339111328,0.00259,0.00014,0.00061,0.00000,0.00000,0.00100,0.00434
1403636582.864674091339111,0.00207,0.00008,0.00054,0.00000,0.00000,0.00092,0.00361
1403636582.914621829986572,0.00217,0.00008,0.00050,0.00000,0.00000,0.00093,0.00367
1403636582.964612483978271,0.00235,0.00008,0.00026,0.00000,0.00000,0.00098,0.00367
1403636583.014608144760132,0.00186,0.00008,0.00028,0.00000,0.00088,0.00096,0.00406
1403636583.064623594284058,0.00212,0.00008,0.00017,0.00005,0.00067,0.00103,0.00412
1403636583.114825248718262,0.00179,0.00008,0.00003,0.00006,0.00081,0.00108,0.00385
1403636583.164948940277100,0.00180,0.00008,0.00012,0.00011,0.00113,0.00108,0.00431
1403636583.215164899826050,0.00182,0.00009,0.00029,0.00017,0.00027,0.00109,0.00372
1403636583.264992237091064,0.00184,0.00009,0.00002,0.00023,0.00643,0.00101,0.00962
1403636583.314957141876221,0.00211,0.00011,0.00013,0.00106,0.00415,0.00097,0.00853
